ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2002,2002-09-08,1,23.018,STL,@,DEN,L 16-23,,,,,
2,2002,2002-09-15,2,23.025,STL,,NYG,L 21-26,,,,,
3,2002,2002-09-23,3,23.033,STL,@,TAM,L 14-26,,,,,
4,2002,2002-09-29,4,23.039,STL,,DAL,L 10-13,,,,,
5,2002,2002-10-06,5,23.046,STL,@,SFO,L 13-37,,,,,
6,2002,2002-10-13,6,23.053,STL,,OAK,W 28-13,,,,,
7,2002,2002-10-20,7,23.060,STL,,SEA,W 37-20,*,,,,
8,2002,2002-11-03,8,23.074,STL,@,ARI,W 27-14,,,,,
9,2002,2002-11-10,9,23.081,STL,,SDG,W 28-24,,,,,
10,2002,2002-11-18,10,23.089,STL,,CHI,W 21-16,,,,,
11,2002,2002-11-24,11,23.095,STL,@,WAS,L 17-20,,,,,
12,2002,2002-12-01,12,23.102,STL,@,PHI,L 3-10,,,,,
13,2002,2002-12-08,13,23.109,STL,@,KAN,L 10-49,,,,,
14,2002,2002-12-15,14,23.116,STL,,ARI,W 30-28,,,,,
15,2002,2002-12-22,15,23.123,STL,@,SEA,L 10-30,,,,,
16,2002,2002-12-30,16,23.131,STL,,SFO,W 31-20,,,,,
17,2003,2003-09-07,1,24.017,STL,@,NYG,L 13-23,,,,,
18,2003,2003-09-14,2,24.024,STL,,SFO,W 27-24,,,,,
19,2003,2003-09-21,3,24.031,STL,@,SEA,L 23-24,,,,,
20,2003,2003-09-28,4,24.038,STL,,ARI,W 37-13,,1,-1,-1.00,0
21,2003,2003-10-13,5,24.053,STL,,ATL,W 36-0,,,,,
22,2003,2003-10-19,6,24.059,STL,,GNB,W 34-24,,,,,
23,2003,2003-10-26,7,24.066,STL,@,PIT,W 33-21,,,,,
24,2003,2003-11-02,8,24.073,STL,@,SFO,L 10-30,,,,,
25,2003,2003-11-09,9,24.080,STL,,BAL,W 33-22,,,,,
26,2003,2003-11-16,10,24.087,STL,@,CHI,W 23-21,,,,,
27,2003,2003-11-23,11,24.094,STL,@,ARI,W 30-27,,,,,
28,2003,2003-11-30,12,24.101,STL,,MIN,W 48-17,,,,,
29,2003,2003-12-08,13,24.109,STL,@,CLE,W 26-20,,,,,
30,2003,2003-12-14,14,24.115,STL,,SEA,W 27-22,,,,,
31,2003,2003-12-21,15,24.122,STL,,CIN,W 27-10,,,,,
32,2003,2003-12-28,16,24.129,STL,@,DET,L 20-30,,,,,
33,2004,2004-09-12,1,25.022,STL,,ARI,W 17-10,,,,,
34,2004,2004-09-19,2,25.029,STL,@,ATL,L 17-34,,,,,
35,2004,2004-09-26,3,25.036,STL,,NOR,L 25-28,,,,,
36,2004,2004-10-03,4,25.043,STL,@,SFO,W 24-14,,,,,
37,2004,2004-10-10,5,25.050,STL,@,SEA,W 33-27,,,,,
38,2004,2004-10-18,6,25.058,STL,,TAM,W 28-21,,,,,
39,2004,2004-10-24,7,25.064,STL,@,MIA,L 14-31,,,,,
