ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,21.255,KAN,@,NWE,L 10-17,*,5,28,5.60,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,21.262,KAN,,OAK,L 8-23,,3,7,2.33,0,2,1,15,15.00,0,50.0%,7.50,0,0,,0,,0,0,0.0,0,0
3,2008,2008-09-21,3,21.269,KAN,@,ATL,L 14-38,,7,38,5.43,0,5,3,24,8.00,0,60.0%,4.80,1,21,21.00,0,,0,0,0.0,0,0
4,2008,2008-09-28,4,21.276,KAN,,DEN,W 33-19,,2,7,3.50,0,2,2,1,0.50,0,100.0%,0.50,2,58,29.00,0,,0,0,0.0,0,0
5,2008,2008-10-05,5,21.283,KAN,@,CAR,L 0-34,,4,18,4.50,0,6,4,22,5.50,0,66.7%,3.67,0,0,,0,,0,0,0.0,0,0
6,2008,2008-10-19,6,21.297,KAN,,TEN,L 10-34,,3,17,5.67,0,7,4,26,6.50,0,57.1%,3.71,2,55,27.50,0,,0,0,0.0,0,0
7,2008,2008-10-26,7,21.304,KAN,@,NYJ,L 24-28,,5,45,9.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
8,2008,2008-11-02,8,21.311,KAN,,TAM,L 27-30,,18,106,5.89,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
9,2008,2008-11-09,9,21.318,KAN,@,SDG,L 19-20,*,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,21.325,KAN,,NOR,L 20-30,,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
11,2008,2008-11-23,11,21.332,KAN,,BUF,L 31-54,,2,22,11.00,0,4,3,45,15.00,1,75.0%,11.25,1,5,5.00,0,,1,6,0.0,0,0
12,2008,2008-11-30,12,21.339,KAN,@,OAK,W 20-13,,2,5,2.50,0,2,1,15,15.00,0,50.0%,7.50,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-07,13,21.346,KAN,@,DEN,L 17-24,,1,13,13.00,0,3,3,12,4.00,0,100.0%,4.00,1,40,40.00,0,,0,0,0.0,0,0
14,2008,2008-12-14,14,21.353,KAN,,SDG,L 21-22,,4,7,1.75,0,0,0,0,,0,0.0%,,2,29,14.50,0,,0,0,0.0,0,0
15,2008,2008-12-21,15,21.360,KAN,,MIA,L 31-38,,3,15,5.00,0,3,3,102,34.00,0,100.0%,34.00,3,65,21.67,0,,0,0,0.0,0,0
16,2008,2008-12-28,16,22.001,KAN,@,CIN,L 6-16,,3,9,3.00,0,1,0,0,,0,0.0%,0.00,3,48,16.00,0,,0,0,0.0,1,0
17,2009,2009-09-13,1,22.260,KAN,@,BAL,L 24-38,,4,8,2.00,0,4,4,29,7.25,0,100.0%,7.25,4,93,23.25,0,,0,0,0.0,0,0
18,2009,2009-09-27,3,22.274,KAN,@,PHI,L 14-34,,6,36,6.00,0,3,3,34,11.33,0,100.0%,11.33,0,0,,0,,0,0,0.0,0,0
