ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1975,1975-09-21,1,22.168,STL,,ATL,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,164,41.00,0
2,1975,1975-09-28,2,22.175,STL,@,DAL,L 31-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,234,39.00,0
3,1975,1975-10-05,3,22.182,STL,,NYG,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,137,45.67,0
4,1975,1975-10-13,4,22.190,STL,@,WAS,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,227,37.83,0
5,1975,1975-10-19,5,22.196,STL,,PHI,W 31-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,117,29.25,0
6,1975,1975-10-25,6,22.202,STL,@,NYG,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,9,344,38.22,1
7,1975,1975-11-02,7,22.210,STL,,NWE,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,251,41.83,0
8,1975,1975-11-09,8,22.217,STL,@,PHI,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,137,34.25,0
9,1975,1975-11-16,9,22.224,STL,,WAS,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,182,36.40,0
10,1975,1975-11-23,10,22.231,STL,@,NYJ,W 37-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,75,25.00,0
11,1975,1975-11-27,11,22.235,STL,,BUF,L 14-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,112,37.33,0
12,1975,1975-12-07,12,22.245,STL,,DAL,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,79,39.50,0
13,1975,1975-12-14,13,22.252,STL,@,CHI,W 34-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,227,45.40,0
14,1975,1975-12-21,14,22.259,STL,@,DET,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,126,31.50,0
15,1976,1976-11-07,9,23.215,SDG,,BAL,L 21-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,166,41.50,0
16,1976,1976-11-14,10,23.222,SDG,,DEN,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,9,327,36.33,0
17,1976,1976-11-21,11,23.229,SDG,@,BUF,W 34-13,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,230,38.33,0
18,1976,1976-11-28,12,23.236,SDG,,KAN,L 20-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,160,40.00,0
19,1976,1976-12-05,13,23.243,SDG,,SFO,W 13-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,331,47.29,0
20,1976,1976-12-12,14,23.250,SDG,@,OAK,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,8,334,41.75,0
21,1977,1977-09-18,1,24.165,SDG,@,OAK,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,262,37.43,1
22,1977,1977-09-25,2,24.172,SDG,@,KAN,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,164,41.00,0
23,1977,1977-10-02,3,24.179,SDG,,CIN,W 24-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,102,25.50,0
24,1977,1977-10-09,4,24.186,SDG,@,NOR,W 14-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,301,43.00,0
25,1977,1977-10-16,5,24.193,SDG,,NWE,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,262,37.43,0
26,1977,1977-10-23,6,24.200,SDG,,KAN,L 16-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,217,36.17,0
27,1977,1977-10-30,7,24.207,SDG,@,MIA,W 14-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,242,40.33,0
28,1977,1977-11-06,8,24.214,SDG,@,DET,L 0-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,252,42.00,0
29,1977,1977-11-13,9,24.221,SDG,,DEN,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,8,268,33.50,0
30,1977,1977-11-20,10,24.228,SDG,,OAK,W 12-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,154,38.50,0
31,1977,1977-11-27,11,24.235,SDG,@,SEA,W 30-28,0,0,,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,4,165,41.25,0
32,1977,1977-12-11,13,24.249,SDG,@,DEN,L 9-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,145,36.25,0
33,1977,1977-12-18,14,24.256,SDG,,PIT,L 9-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,173,34.60,0
34,1978,1978-09-03,1,25.150,SDG,@,SEA,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,72,24.00,0
35,1978,1978-09-10,2,25.157,SDG,,OAK,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,9,330,36.67,0
36,1978,1978-09-17,3,25.164,SDG,@,DEN,L 14-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,237,39.50,0
37,1978,1978-09-24,4,25.171,SDG,,GNB,L 3-24,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,85,42.50,1
38,1978,1978-10-01,5,25.178,SDG,@,NWE,L 23-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,210,42.00,0
39,1978,1978-10-08,6,25.185,SDG,,DEN,W 23-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,193,38.60,0
40,1978,1978-10-15,7,25.192,SDG,,MIA,L 21-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,123,41.00,1
41,1978,1978-10-22,8,25.199,SDG,@,DET,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,114,38.00,0
42,1978,1978-10-29,9,25.206,SDG,@,OAK,W 27-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,66,33.00,0
