ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2001,2001-09-23,2,23.080,BUF,@,IND,L 26-42,*,,,,,
2,2001,2001-10-07,4,23.094,BUF,,NYJ,L 36-42,*,,,,,
3,2001,2001-10-18,5,23.105,BUF,@,JAX,W 13-10,*,,,,,
4,2001,2001-10-28,6,23.115,BUF,@,SDG,L 24-27,*,,,,,
5,2001,2001-11-04,7,23.122,BUF,,IND,L 14-30,*,,,,,
6,2001,2001-11-11,8,23.129,BUF,@,NWE,L 11-21,*,,,,,
7,2001,2001-11-18,9,23.136,BUF,,SEA,L 20-23,*,,,,,
8,2001,2001-11-25,10,23.143,BUF,,MIA,L 27-34,*,,,,,
9,2001,2001-12-02,11,23.150,BUF,@,SFO,L 0-35,*,,,,,
10,2001,2001-12-09,12,23.157,BUF,,CAR,W 25-24,*,1,6,1,44,1
11,2001,2001-12-16,13,23.164,BUF,,NWE,L 9-12,*,,,,,
12,2001,2001-12-23,14,23.171,BUF,@,ATL,L 30-33,*,1,6,1,7,1
13,2001,2001-12-30,15,23.178,BUF,@,NYJ,W 14-9,*,,,,,
14,2001,2002-01-06,16,23.185,BUF,@,MIA,L 7-34,*,,,,,
