ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1997,1997-11-23,12,22.082,IND,@,DET,L 10-32,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,18,6.00,0
2,1997,1997-11-30,13,22.089,IND,@,NWE,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,9,9.00,0
3,1997,1997-12-07,14,22.096,IND,@,NYJ,W 22-14,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,5,50,10.00,0
4,1997,1997-12-14,15,22.103,IND,,MIA,W 41-0,,1,0,0,,0,0.0%,0.00,0,0,,0,1,27,27.00,0,2,5,2.50,0
5,1997,1997-12-21,16,22.110,IND,@,MIN,L 28-39,,0,0,0,,0,0.0%,,0,0,,0,7,129,18.43,0,2,14,7.00,0
6,1998,1998-09-13,2,23.011,MIA,,BUF,W 13-7,,,,,,,0.0%,,,,,,,,,,,,,
7,1998,1998-09-20,3,23.018,MIA,,PIT,W 21-0,,,,,,,0.0%,,,,,,,,,,,,,
8,1998,1998-10-04,4,23.032,MIA,@,NYJ,L 9-20,,,,,,,0.0%,,,,,,,,,,,,,
9,1998,1998-10-12,5,23.040,MIA,@,JAX,L 21-28,,,,,,,0.0%,,,,,,,,,,,,,
10,1998,1998-10-18,6,23.046,MIA,,STL,W 14-0,,,,,,,0.0%,,,,,,,,,,,,,
11,1998,1998-10-25,7,23.053,MIA,,NWE,W 12-9,,,,,,,0.0%,,,,,,,,,,,,,
12,1998,1998-11-01,8,23.060,MIA,@,BUF,L 24-30,,,,,,,0.0%,,,,,,,,,,,,,
13,1998,1998-11-08,9,23.067,MIA,,IND,W 27-14,,,,,,,0.0%,,,,,,,,,,,,,
14,1998,1998-11-15,10,23.074,MIA,@,CAR,W 13-9,,,,,,,0.0%,,,,,,,,,,,,,
15,1998,1998-11-23,11,23.082,MIA,@,NWE,L 23-26,,,,,,,0.0%,,,,,,,,,,,,,
16,1998,1998-11-29,12,23.088,MIA,,NOR,W 30-10,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0
17,1998,1998-12-06,13,23.095,MIA,@,OAK,W 27-17,,,,,,,0.0%,,,,,,,,,,,,,
18,1998,1998-12-13,14,23.102,MIA,,NYJ,L 16-21,,9,5,68,13.60,0,55.6%,7.56,0,0,,0,0,0,,0,0,0,,0
19,1998,1998-12-21,15,23.110,MIA,,DEN,W 31-21,,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,,0,0,0,,0
20,1998,1998-12-27,16,23.116,MIA,@,ATL,L 16-38,,3,0,0,,0,0.0%,0.00,0,0,,0,4,103,25.75,0,0,0,,0
21,1999,1999-10-10,4,24.038,MIA,@,IND,W 34-31,,,,,,,0.0%,,,,,,,,,,,,,
22,1999,1999-10-17,5,24.045,MIA,@,NWE,W 31-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,86,21.50,0
23,1999,1999-10-24,6,24.052,MIA,,PHI,W 16-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,43,14.33,0
24,1999,1999-10-31,7,24.059,MIA,@,OAK,W 16-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,64,21.33,0
25,1999,1999-11-07,8,24.066,MIA,,TEN,W 17-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,17,8.50,0
26,1999,1999-11-14,9,24.073,MIA,@,BUF,L 3-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,25,25.00,0
27,1999,1999-11-21,10,24.080,MIA,,NWE,W 27-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,8,2.67,0
28,1999,1999-11-25,11,24.084,MIA,@,DAL,L 0-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,3,28,9.33,0
29,1999,1999-12-05,12,24.094,MIA,,IND,L 34-37,,0,0,0,,0,0.0%,,0,0,,0,1,26,26.00,0,1,13,13.00,0
30,1999,1999-12-12,13,24.101,MIA,@,NYJ,L 20-28,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,1,35,35.00,0
31,1999,1999-12-19,14,24.108,MIA,,SDG,W 12-9,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0,4,19,4.75,0
