ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1951,1951-09-30,1,22.348,PHI,@,CRD,W 17-14,2,56,28.00,1,0,0,,0,,,,,,,1,
2,1951,1951-10-06,2,22.354,PHI,,SFO,W 21-14,2,27,13.50,0,0,0,,0,,,,,,,0,
3,1951,1951-10-14,3,22.362,PHI,@,GNB,L 24-37,3,53,17.67,0,0,0,,0,,,,,,,0,
4,1951,1951-10-21,4,23.004,PHI,@,NYG,L 24-26,6,118,19.67,2,0,0,,0,,,,,,,2,
5,1951,1951-10-28,5,23.011,PHI,,WAS,L 23-27,2,55,27.50,1,0,0,,0,,,,,,,1,
6,1951,1951-11-04,6,23.018,PHI,@,PIT,W 34-13,1,22,22.00,1,0,0,,0,,,,,,,1,
7,1951,1951-11-11,7,23.025,PHI,@,CLE,L 17-20,2,18,9.00,0,0,0,,0,,,,,,,0,
8,1951,1951-12-02,10,23.046,PHI,@,WAS,W 35-21,2,24,12.00,2,0,0,,0,,,,,,,2,
9,1951,1951-12-16,12,23.060,PHI,,CLE,L 9-24,6,67,11.17,1,0,0,,0,,,,,,,1,
10,1952,1952-10-12,3,23.361,PHI,,PIT,W 26-21,1,40,40.00,0,0,0,,0,,,,,,,0,
11,1952,1952-10-19,4,24.002,PHI,,CLE,L 7-49,3,44,14.67,0,0,0,,0,,,,,,,0,
12,1952,1952-10-26,5,24.009,PHI,@,NYG,W 14-10,0,0,,1,0,0,,0,,,,,,,1,
13,1952,1952-11-02,6,24.016,PHI,@,GNB,L 10-12,3,30,10.00,0,0,0,,0,,,,,,,0,
14,1952,1952-11-23,9,24.037,PHI,@,CLE,W 28-20,4,121,30.25,1,0,0,,0,,,,,,,1,
15,1952,1952-11-30,10,24.044,PHI,@,CRD,L 22-28,1,8,8.00,1,0,0,,0,,,,,,,1,
16,1952,1952-12-14,12,24.058,PHI,@,WAS,L 21-27,1,8,8.00,0,0,0,,0,,,,,,,0,
17,1953,1953-09-27,1,24.345,PHI,@,SFO,L 21-31,5,62,12.40,1,0,0,,0,,,,,,,1,
18,1953,1953-10-02,2,24.350,PHI,,WAS,T 21-21,4,74,18.50,0,0,0,,0,,,,,,,0,
19,1953,1953-10-10,3,24.358,PHI,@,CLE,L 13-37,4,110,27.50,0,0,0,,0,,,,,,,0,
20,1953,1953-10-25,5,25.008,PHI,@,CRD,W 56-17,5,51,10.20,0,0,0,,0,,,,,,,0,
21,1953,1953-11-01,6,25.015,PHI,@,PIT,W 35-7,1,21,21.00,1,0,0,,0,,,,,,,1,
22,1953,1953-11-08,7,25.022,PHI,,NYG,W 30-7,8,176,22.00,2,0,0,,0,,,,,,,2,
