ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1985,1985-11-04,9,23.148,DAL,@,STL,L 10-21,1,5,5.00,0,5,20,4.00,0,0,0,,0
2,1985,1985-11-10,10,23.154,DAL,@,WAS,W 13-7,0,0,,0,0,0,,0,0,0,,0
3,1985,1985-11-17,11,23.161,DAL,,CHI,L 0-44,1,9,9.00,0,0,0,,0,1,19,19.00,0
4,1985,1985-11-24,12,23.168,DAL,,PHI,W 34-17,0,0,,0,0,0,,0,0,0,,0
5,1985,1985-11-28,13,23.172,DAL,,STL,W 35-17,0,0,,0,0,0,,0,1,20,20.00,0
6,1985,1985-12-08,14,23.182,DAL,@,CIN,L 24-50,0,0,,0,0,0,,0,0,0,,0
7,1985,1985-12-15,15,23.189,DAL,,NYG,W 28-21,0,0,,0,0,0,,0,1,9,9.00,0
8,1985,1985-12-22,16,23.196,DAL,@,SFO,L 16-31,3,10,3.33,0,2,5,2.50,0,0,0,,0
9,1986,1986-09-08,1,24.091,DAL,,NYG,W 31-28,0,0,,0,0,0,,0,,,,
10,1986,1986-09-14,2,24.097,DAL,@,DET,W 31-7,0,0,,0,0,0,,0,,,,
11,1986,1986-09-21,3,24.104,DAL,,ATL,L 35-37,0,0,,0,0,0,,0,,,,
12,1986,1986-09-29,4,24.112,DAL,@,STL,W 31-7,0,0,,0,1,1,1.00,0,0,0,,0
13,1986,1986-10-05,5,24.118,DAL,@,DEN,L 14-29,0,0,,0,0,0,,0,,,,
14,1986,1986-10-12,6,24.125,DAL,,WAS,W 30-6,0,0,,0,0,0,,0,,,,
15,1986,1986-10-19,7,24.132,DAL,@,PHI,W 17-14,0,0,,0,0,0,,0,,,,
16,1986,1986-10-26,8,24.139,DAL,,STL,W 37-6,1,19,19.00,0,3,2,0.67,0,0,0,,0
