ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1964,1964-10-25,7,23.076,GNB,,RAM,L 17-27,0,0,,0,1,17,17.00,0,0,0,0
2,1964,1964-11-22,11,23.104,GNB,,CLE,W 28-21,0,0,,0,1,37,37.00,0,0,0,0
3,1964,1964-11-29,12,23.111,GNB,@,DAL,W 45-21,1,5,5.00,0,0,0,,0,0,0,0
4,1965,1965-11-07,8,24.089,GNB,,DET,L 7-12,0,0,,0,0,0,,0,1,4,0
5,1965,1965-11-14,9,24.096,GNB,,RAM,W 6-3,0,0,,0,1,16,16.00,0,0,0,0
6,1965,1965-11-28,11,24.110,GNB,@,RAM,L 10-21,0,0,,0,1,21,21.00,0,0,0,0
7,1965,1965-12-05,12,24.117,GNB,,MIN,W 24-19,0,0,,0,1,16,16.00,0,0,0,0
8,1966,1966-10-23,7,25.074,GNB,,ATL,W 56-3,0,0,,0,0,0,,0,1,15,0
9,1967,1967-10-22,6,26.073,GNB,@,NYG,W 48-21,0,0,,0,1,18,18.00,0,0,0,0
10,1967,1967-10-30,7,26.081,GNB,@,STL,W 31-23,0,0,,0,1,23,23.00,0,0,0,0
11,1967,1967-12-09,13,26.121,GNB,@,RAM,L 24-27,0,0,,0,1,7,7.00,0,0,0,0
12,1969,1969-09-21,1,28.042,NYG,,MIN,W 24-23,0,0,,0,0,0,,0,1,0,0
13,1971,1971-09-19,1,30.040,GNB,,NYG,L 40-42,,,,,,,,,,,
14,1971,1971-09-26,2,30.047,GNB,,DEN,W 34-13,,,,,,,,,,,
15,1971,1971-10-03,3,30.054,GNB,,CIN,W 20-17,,,,,,,,,,,
16,1971,1971-10-10,4,30.061,GNB,@,DET,L 28-31,,,,,,,,,,,
17,1971,1971-10-17,5,30.068,GNB,,MIN,L 13-24,,,,,,,,,,,
18,1971,1971-11-01,7,30.083,GNB,,DET,T 14-14,,,,,,,,,,,
19,1971,1971-11-07,8,30.089,GNB,@,CHI,W 17-14,,,,,,,,,,,
20,1971,1971-11-22,10,30.104,GNB,@,ATL,L 21-28,,,,,,,,,,,
21,1971,1971-11-28,11,30.110,GNB,,NOR,L 21-29,,,,,,,,,,,
22,1971,1971-12-05,12,30.117,GNB,@,STL,T 16-16,,,,,,,,,,,
23,1971,1971-12-12,13,30.124,GNB,,CHI,W 31-10,,,,,,,,,,,
24,1971,1971-12-19,14,30.131,GNB,@,MIA,L 6-27,,,,,,,,,,,
25,1972,1972-09-17,1,31.038,GNB,@,CLE,W 26-10,,,,,,,,,,,
26,1972,1972-09-24,2,31.045,GNB,,OAK,L 14-20,,,,,,,,,,,
27,1972,1972-10-01,3,31.052,GNB,,DAL,W 16-13,,,,,,,,,,,
28,1972,1972-10-08,4,31.059,GNB,,CHI,W 20-17,,,,,,,,,,,
29,1972,1972-10-16,5,31.067,GNB,@,DET,W 24-23,,,,,,,,,,,
30,1972,1972-10-22,6,31.073,GNB,,ATL,L 9-10,,,,,,,,,,,
31,1972,1972-10-29,7,31.080,GNB,,MIN,L 13-27,,,,,,,,,,,
32,1972,1972-11-05,8,31.087,GNB,,SFO,W 34-24,,,,,,,,,,,
33,1972,1972-11-12,9,31.094,GNB,@,CHI,W 23-17,,,,,,,,,,,
34,1972,1972-11-19,10,31.101,GNB,@,HOU,W 23-10,,,,,,,,,,,
35,1972,1972-11-26,11,31.108,GNB,@,WAS,L 16-21,,,,,,,,,,,
36,1972,1972-12-03,12,31.115,GNB,,DET,W 33-7,,,,,,,,,,,
