ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1969,1969-09-21,1,22.215,PHI,,CLE,L 20-27,3,10,3.33,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
2,1969,1969-09-28,2,22.222,PHI,,PIT,W 41-27,10,28,2.80,0,2,25,12.50,0,0,0,,0,0,0,,0,0,,,4,94,23.50,0,0,0,0,0,0
3,1969,1969-10-05,3,22.229,PHI,,DAL,L 7-38,6,6,1.00,0,2,4,2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,83,20.75,0,0,0,0,0,0
4,1969,1969-10-19,5,22.243,PHI,@,DAL,L 14-49,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,0,0,0
5,1969,1969-10-26,6,22.250,PHI,,NOR,W 13-10,12,30,2.50,0,5,47,9.40,0,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,0,0,,0,0,0,0,0,0
6,1969,1969-11-02,7,22.257,PHI,@,NYG,W 23-20,11,43,3.91,0,3,18,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
7,1969,1969-11-09,8,22.264,PHI,@,WAS,T 28-28,20,87,4.35,1,4,42,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0
8,1969,1969-11-16,9,22.271,PHI,,RAM,L 17-23,8,23,2.88,0,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
9,1969,1969-11-23,10,22.278,PHI,@,STL,W 34-30,12,18,1.50,1,3,42,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0
10,1969,1969-11-30,11,22.285,PHI,@,NOR,L 17-26,5,20,4.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
