ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1962,1962-09-15,2,22.182,BUF,,DEN,L 20-23,2,10,0
2,1962,1962-10-07,5,22.204,BUF,@,HOU,L 14-17,0,40,1
3,1962,1962-10-13,6,22.210,BUF,,SDG,W 35-10,3,51,0
4,1962,1962-10-20,7,22.217,BUF,,OAK,W 14-6,1,30,0
5,1962,1962-10-28,8,22.225,BUF,@,DEN,W 45-38,1,0,0
