ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1985,1985-11-03,9,24.036,WAS,@,ATL,W 44-10,,,,,
2,1985,1985-11-10,10,24.043,WAS,,DAL,L 7-13,,,,,
3,1985,1985-11-18,11,24.051,WAS,,NYG,W 23-21,,,,,
4,1985,1985-11-24,12,24.057,WAS,@,PIT,W 30-23,,,,,
5,1985,1985-12-08,14,24.071,WAS,@,PHI,W 17-12,0,0,,0,1.0
6,1985,1985-12-15,15,24.078,WAS,,CIN,W 27-24,,,,,
7,1985,1985-12-21,16,24.084,WAS,@,STL,W 27-16,,,,,
8,1986,1986-09-07,1,24.344,WAS,,PHI,W 41-14,0,0,,0,2.0
9,1986,1986-09-14,2,24.351,WAS,,RAI,W 10-6,0,0,,0,1.0
10,1986,1986-09-21,3,24.358,WAS,@,SDG,W 30-27,,,,,
11,1986,1986-09-28,4,25.000,WAS,,SEA,W 19-14,0,0,,0,0.5
12,1986,1986-10-05,5,25.007,WAS,@,NOR,W 14-6,,,,,
13,1986,1986-10-12,6,25.014,WAS,@,DAL,L 6-30,,,,,
14,1986,1986-10-19,7,25.021,WAS,,STL,W 28-21,,,,,
15,1986,1986-10-27,8,25.029,WAS,@,NYG,L 20-27,,,,,
16,1986,1986-11-02,9,25.035,WAS,,MIN,W 44-38,,,,,
17,1986,1986-11-09,10,25.042,WAS,@,GNB,W 16-7,,,,,
18,1986,1986-11-17,11,25.050,WAS,,SFO,W 14-6,,,,,
19,1986,1986-11-23,12,25.056,WAS,,DAL,W 41-14,0,0,,0,1.0
20,1987,1987-09-13,1,25.350,WAS,,PHI,W 34-24,,,,,
21,1987,1987-09-20,2,25.357,WAS,@,ATL,L 20-21,0,0,,0,1.0
22,1987,1987-10-25,6,26.027,WAS,,NYJ,W 17-16,,,,,
23,1987,1987-11-01,7,26.034,WAS,@,BUF,W 27-7,,,,,
24,1987,1987-11-08,8,26.041,WAS,@,PHI,L 27-31,,,,,
25,1987,1987-11-15,9,26.048,WAS,,DET,W 20-13,,,,,
26,1987,1987-11-23,10,26.056,WAS,,RAM,L 26-30,,,,,
27,1987,1987-11-29,11,26.062,WAS,,NYG,W 23-19,,,,,
28,1987,1987-12-06,12,26.069,WAS,@,STL,W 34-17,,,,,
29,1987,1987-12-13,13,26.076,WAS,,DAL,W 24-20,,,,,
30,1987,1987-12-20,14,26.083,WAS,@,MIA,L 21-23,,,,,
31,1987,1987-12-26,15,26.089,WAS,@,MIN,W 27-24,,,,,
32,1988,1988-09-05,1,26.343,WAS,@,NYG,L 20-27,0,0,,0,
33,1988,1988-09-11,2,26.349,WAS,,PIT,W 30-29,0,0,,0,
34,1988,1988-09-18,3,26.356,WAS,,PHI,W 17-10,1,7,7.00,0,0.0
35,1988,1988-09-25,4,26.363,WAS,@,PHO,L 21-30,0,0,,0,
36,1988,1988-10-02,5,27.004,WAS,,NYG,L 23-24,0,0,,0,
37,1988,1988-10-09,6,27.011,WAS,@,DAL,W 35-17,0,0,,0,
38,1988,1988-10-16,7,27.018,WAS,,PHO,W 33-17,0,0,,0,
39,1988,1988-10-23,8,27.025,WAS,@,GNB,W 20-17,0,0,,0,
40,1988,1988-11-06,10,27.039,WAS,,NOR,W 27-24,0,0,,0,
41,1988,1988-11-13,11,27.046,WAS,,CHI,L 14-34,0,0,,0,
42,1988,1988-11-21,12,27.054,WAS,@,SFO,L 21-37,0,0,,0,
43,1988,1988-11-27,13,27.060,WAS,,CLE,L 13-17,0,0,,0,
44,1988,1988-12-04,14,27.067,WAS,@,PHI,W 20-19,0,0,,0,
45,1988,1988-12-11,15,27.074,WAS,,DAL,L 17-24,0,0,,0,
46,1988,1988-12-17,16,27.080,WAS,@,CIN,L 17-20,0,0,,0,
