ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1968,1968-09-09,1,25.232,KAN,@,HOU,W 26-21,0,0,,0,0,0,1,0,0
2,1968,1968-10-05,5,25.258,KAN,@,BUF,W 18-7,1,9,9.00,0,0,0,0,0,0
3,1968,1968-10-27,8,25.280,KAN,,SDG,W 27-20,0,0,,0,0,0,1,0,0
4,1968,1968-12-08,13,25.322,KAN,@,SDG,W 40-3,0,0,,0,0,0,1,23,0
5,1969,1969-10-05,4,26.257,KAN,@,DEN,W 26-13,0,0,,0,1,6,1,60,1
6,1969,1969-10-12,5,26.264,KAN,,HOU,W 24-0,0,0,,0,0,0,2,41,0
7,1969,1969-10-19,6,26.271,KAN,,MIA,W 17-10,0,0,,0,0,0,1,8,0
8,1969,1969-11-09,9,26.292,KAN,,SDG,W 27-3,0,0,,0,0,0,1,34,0
9,1970,1970-09-20,1,27.242,KAN,@,MIN,L 10-27,0,0,,0,0,0,1,0,0
10,1970,1970-09-28,2,27.250,KAN,@,BAL,W 44-24,,,,,,,,,
11,1970,1970-10-04,3,27.256,KAN,@,DEN,L 13-26,,,,,,,,,
12,1970,1970-10-11,4,27.263,KAN,,BOS,W 23-10,0,0,,0,0,0,2,24,0
13,1970,1970-10-18,5,27.270,KAN,@,CIN,W 27-19,,,,,,,,,
14,1970,1970-10-25,6,27.277,KAN,,DAL,L 16-27,,,,,,,,,
15,1970,1970-11-01,7,27.284,KAN,,OAK,T 17-17,,,,,,,,,
16,1970,1970-11-08,8,27.291,KAN,,HOU,W 24-9,,,,,,,,,
17,1970,1970-11-15,9,27.298,KAN,@,PIT,W 31-14,0,0,,0,0,0,1,4,0
18,1970,1970-11-22,10,27.305,KAN,,STL,T 6-6,,,,,,,,,
19,1970,1970-11-29,11,27.312,KAN,,SDG,W 26-14,,,,,,,,,
20,1970,1970-12-06,12,27.319,KAN,,DEN,W 16-0,,,,,,,,,
21,1970,1970-12-12,13,27.325,KAN,@,OAK,L 6-20,,,,,,,,,
22,1970,1970-12-20,14,27.333,KAN,@,SDG,L 13-31,,,,,,,,,
23,1971,1971-09-19,1,28.241,KAN,@,SDG,L 14-21,,,,,,,,,
24,1971,1971-09-26,2,28.248,KAN,@,HOU,W 20-16,0,0,,0,0,0,1,29,0
25,1971,1971-10-03,3,28.255,KAN,@,DEN,W 16-3,0,0,,0,0,0,1,17,0
26,1971,1971-10-10,4,28.262,KAN,,SDG,W 31-10,,,,,,,,,
27,1971,1971-10-18,5,28.270,KAN,,PIT,W 38-16,,,,,,,,,
28,1971,1971-10-24,6,28.276,KAN,,WAS,W 27-20,,,,,,,,,
29,1971,1971-10-31,7,28.283,KAN,@,OAK,T 20-20,,,,,,,,,
30,1971,1971-11-07,8,28.290,KAN,@,NYJ,L 10-13,,,,,,,,,
31,1971,1971-11-14,9,28.297,KAN,,CLE,W 13-7,,,,,,,,,
32,1971,1971-11-21,10,28.304,KAN,,DEN,W 28-10,,,,,,,,,
33,1971,1971-11-25,11,28.308,KAN,@,DET,L 21-32,,,,,,,,,
34,1971,1971-12-06,12,28.319,KAN,@,SFO,W 26-17,,,,,,,,,
35,1971,1971-12-12,13,28.325,KAN,,OAK,W 16-14,0,0,,0,0,0,1,0,0
36,1971,1971-12-19,14,28.332,KAN,,BUF,W 22-9,,,,,,,,,
37,1972,1972-09-17,1,29.240,KAN,,MIA,L 10-20,,,,,,,,,
38,1972,1972-09-25,2,29.248,KAN,@,NOR,W 20-17,,,,,,,,,
39,1972,1972-10-01,3,29.254,KAN,@,DEN,W 45-24,0,0,,0,2,12,2,75,2
40,1972,1972-10-08,4,29.261,KAN,@,CLE,W 31-7,,,,,,,,,
41,1972,1972-10-15,5,29.268,KAN,,CIN,L 16-23,,,,,,,,,
42,1972,1972-10-22,6,29.275,KAN,,PHI,L 20-21,,,,,,,,,
43,1972,1972-10-29,7,29.282,KAN,@,SDG,W 26-14,0,0,,0,0,0,1,23,0
