ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1969,1969-09-14,1,29.255,CIN,,MIA,W 27-21,3,3,100.0,2,2,100.0,0,9,0,0,,0
2,1969,1969-09-21,2,29.262,CIN,,SDG,W 34-20,4,4,100.0,2,4,50.0,0,10,0,0,,0
3,1969,1969-09-28,3,29.269,CIN,,KAN,W 24-19,3,3,100.0,1,1,100.0,0,6,0,0,,0
4,1969,1969-10-04,4,29.275,CIN,@,SDG,L 14-21,2,2,100.0,,1,0.0,0,2,0,0,,0
5,1969,1969-10-12,5,29.283,CIN,,NYJ,L 7-21,1,1,100.0,,2,0.0,0,1,0,0,,0
6,1969,1969-10-19,6,29.290,CIN,,DEN,L 23-30,2,3,66.7,1,1,100.0,0,5,0,0,,0
7,1969,1969-10-26,7,29.297,CIN,@,KAN,L 22-42,2,2,100.0,2,2,100.0,0,8,0,0,,0
8,1969,1969-11-02,8,29.304,CIN,,OAK,W 31-17,4,4,100.0,1,2,50.0,0,7,0,0,,0
9,1969,1969-11-09,9,29.311,CIN,@,HOU,T 31-31,4,4,100.0,1,1,100.0,0,7,0,0,,0
10,1969,1969-11-16,10,29.318,CIN,,BOS,L 14-25,2,2,100.0,,1,0.0,0,2,2,38,19.00,1
11,1969,1969-11-23,11,29.325,CIN,@,NYJ,L 7-40,1,1,100.0,,,,0,1,,,,
12,1969,1969-11-30,12,29.332,CIN,@,BUF,L 13-16,1,1,100.0,2,3,66.7,0,7,0,0,,0
13,1969,1969-12-07,13,29.339,CIN,@,OAK,L 17-37,2,2,100.0,1,1,100.0,0,5,0,0,,0
14,1969,1969-12-14,14,29.346,CIN,@,DEN,L 16-27,1,1,100.0,3,3,100.0,0,10,0,0,,0
15,1970,1970-09-20,1,30.261,CIN,,OAK,W 31-21,4,4,100.0,1,3,33.3,0,7,0,0,,0
16,1970,1970-09-27,2,30.268,CIN,@,DET,L 3-38,,,,1,1,100.0,0,3,0,0,,0
17,1970,1970-10-04,3,30.275,CIN,,HOU,L 13-20,1,1,100.0,2,3,66.7,0,7,0,0,,0
18,1970,1970-10-11,4,30.282,CIN,@,CLE,L 27-30,3,3,100.0,2,3,66.7,0,9,0,0,,0
19,1970,1970-10-18,5,30.289,CIN,,KAN,L 19-27,1,1,100.0,2,5,40.0,0,7,0,0,,0
20,1970,1970-10-25,6,30.296,CIN,@,WAS,L 0-20,,,,,1,0.0,0,0,0,0,,0
21,1970,1970-11-02,7,30.304,CIN,@,PIT,L 10-21,1,1,100.0,1,2,50.0,0,4,0,0,,0
22,1970,1970-11-08,8,30.310,CIN,@,BUF,W 43-14,4,4,100.0,5,5,100.0,0,19,0,0,,0
23,1970,1970-11-15,9,30.317,CIN,,CLE,W 14-10,2,2,100.0,,,,0,2,,,,
24,1970,1970-11-22,10,30.324,CIN,,PIT,W 34-7,4,4,100.0,2,2,100.0,0,10,0,0,,0
25,1970,1970-11-29,11,30.331,CIN,,NOR,W 26-6,2,2,100.0,4,5,80.0,0,14,0,0,,0
26,1970,1970-12-06,12,30.338,CIN,@,SDG,W 17-14,2,2,100.0,1,3,33.3,0,5,0,0,,0
27,1970,1970-12-13,13,30.345,CIN,@,HOU,W 30-20,3,3,100.0,3,3,100.0,0,12,0,0,,0
28,1970,1970-12-20,14,30.352,CIN,,BOS,W 45-7,6,6,100.0,1,1,100.0,0,9,0,0,,0
29,1971,1971-09-19,1,31.260,CIN,,PHI,W 37-14,4,4,100.0,3,4,75.0,0,13,0,0,,0
30,1971,1971-09-26,2,31.267,CIN,@,PIT,L 10-21,1,1,100.0,1,3,33.3,0,4,0,0,,0
31,1971,1971-10-03,3,31.274,CIN,@,GNB,L 17-20,2,2,100.0,1,1,100.0,0,5,0,0,,0
32,1971,1971-10-10,4,31.281,CIN,,MIA,L 13-23,1,1,100.0,2,3,66.7,0,7,0,0,,0
33,1971,1971-10-17,5,31.288,CIN,,CLE,L 24-27,3,3,100.0,1,1,100.0,0,6,0,0,,0
34,1971,1971-10-24,6,31.295,CIN,@,OAK,L 27-31,3,3,100.0,2,3,66.7,0,9,0,0,,0
35,1971,1971-10-31,7,31.302,CIN,@,HOU,L 6-10,,,,2,4,50.0,0,6,0,0,,0
36,1971,1971-11-07,8,31.309,CIN,,ATL,L 6-9,,,,2,3,66.7,0,6,0,0,,0
37,1971,1971-11-14,9,31.316,CIN,@,DEN,W 24-10,3,3,100.0,1,2,50.0,0,6,0,0,,0
38,1971,1971-11-21,10,31.323,CIN,,HOU,W 28-13,4,4,100.0,,,,0,4,,,,
39,1971,1971-11-28,11,31.330,CIN,,SDG,W 31-0,4,4,100.0,1,3,33.3,0,7,0,0,,0
