ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-09-03,1,21.123,BUF,,TEN,W 16-13,,,,,,,0.0%,,,,,
2,2000,2000-09-10,2,21.130,BUF,,GNB,W 27-18,,,,,,,0.0%,,,,,
3,2000,2000-09-17,3,21.137,BUF,@,NYJ,L 14-27,,1,,,,,0.0%,,,,,
4,2000,2000-10-01,4,21.151,BUF,,IND,L 16-18,,0,,,,,0.0%,,,,,
5,2000,2000-10-08,5,21.158,BUF,@,MIA,L 13-22,,0,,,,,0.0%,,,,,
6,2000,2000-10-15,6,21.165,BUF,,SDG,W 27-24,,0,,,,,0.0%,,,,,
7,2000,2000-10-22,7,21.172,BUF,@,MIN,L 27-31,,2,2,22,11.00,0,100.0%,11.00,0,0,,0
8,2000,2000-10-29,8,21.179,BUF,,NYJ,W 23-20,,,,,,,0.0%,,,,,
9,2000,2000-11-05,9,21.186,BUF,@,NWE,W 16-13,,0,0,0,,0,0.0%,,1,1,1.00,0
10,2000,2000-11-12,10,21.193,BUF,,CHI,W 20-3,,0,,,,,0.0%,,,,,
11,2000,2000-11-19,11,21.200,BUF,@,KAN,W 21-17,,,,,,,0.0%,,,,,
12,2000,2000-11-26,12,21.207,BUF,@,TAM,L 17-31,,4,1,5,5.00,0,25.0%,1.25,0,0,,0
13,2000,2000-12-03,13,21.214,BUF,,MIA,L 6-33,,,,,,,0.0%,,,,,
14,2000,2000-12-11,14,21.222,BUF,@,IND,L 20-44,,,,,,,0.0%,,,,,
15,2000,2000-12-17,15,21.228,BUF,,NWE,L 10-13,,0,,,,,0.0%,,,,,
16,2000,2000-12-23,16,21.234,BUF,@,SEA,W 42-23,,1,1,39,39.00,0,100.0%,39.00,0,0,,0
