ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1983,1983-09-04,1,23.068,DEN,@,PIT,W 14-10,*,1,8,12.50,14,0,1,0.0,4,26,1.75,-3.88,0,0,,0,,0,0,,0,,,0,0,0,0,,0
2,1983,1983-09-11,2,23.075,DEN,@,BAL,W 17-10,*,9,21,42.86,106,0,0,58.8,3,19,5.05,5.05,1,2,2.00,0,,0,0,,0,,,0,0,0,0,,0
3,1983,1983-09-18,3,23.082,DEN,,PHI,L 10-13,*,18,33,54.55,193,1,2,56.8,3,17,5.85,3.73,4,29,7.25,0,,0,0,,0,,,0,0,0,0,,0
4,1983,1983-09-25,4,23.089,DEN,,RAI,L 7-22,*,6,11,54.55,71,0,1,36.6,2,20,6.45,2.36,0,0,,0,,0,0,,0,,,0,0,0,0,,0
5,1983,1983-10-02,5,23.096,DEN,@,CHI,L 14-31,*,4,10,40.00,36,0,1,10.8,3,25,3.60,-0.90,3,10,3.33,0,,0,0,,0,,,0,0,0,0,,0
6,1983,1983-11-06,10,23.131,DEN,@,SEA,L 19-27,,8,15,53.33,134,1,0,106.0,2,17,8.93,10.27,4,20,5.00,0,,0,0,,0,,,0,0,0,0,,0
7,1983,1983-11-13,11,23.138,DEN,@,RAI,L 20-22,*,11,31,35.48,190,0,1,43.8,2,21,6.13,4.68,3,32,10.67,1,,0,0,,0,,,1,6,0,0,,0
8,1983,1983-11-27,13,23.152,DEN,@,SDG,L 7-31,*,14,28,50.00,147,0,3,26.0,4,35,5.25,0.43,1,1,1.00,0,,0,0,,0,,,0,0,0,0,,0
9,1983,1983-12-04,14,23.159,DEN,,CLE,W 27-6,*,16,24,66.67,284,2,1,117.4,0,0,11.83,11.63,6,18,3.00,0,,0,0,,0,,,0,0,0,0,,0
10,1983,1983-12-11,15,23.166,DEN,,BAL,W 21-19,*,23,44,52.27,345,3,0,101.0,5,38,7.84,9.20,3,23,7.67,0,,0,0,,0,,,0,0,0,0,,0
11,1983,1983-12-18,16,23.173,DEN,@,KAN,L 17-48,*,13,34,38.24,143,0,4,11.9,0,0,4.21,-1.09,3,11,3.67,0,,0,0,,0,,,0,0,0,0,,0
12,1984,1984-09-02,1,24.066,DEN,,CIN,W 20-17,*,8,13,61.54,127,1,1,87.7,1,4,9.77,7.85,3,13,4.33,0,,0,0,,0,,,0,0,0,0,,0
13,1984,1984-09-09,2,24.073,DEN,@,CHI,L 0-27,,2,3,66.67,11,0,0,72.9,0,0,3.67,3.67,1,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
14,1984,1984-09-16,3,24.080,DEN,@,CLE,W 24-14,*,15,35,42.86,170,2,1,65.2,1,6,4.86,4.71,6,42,7.00,0,,0,0,,0,,,0,0,0,0,,0
15,1984,1984-09-23,4,24.087,DEN,,KAN,W 21-0,*,17,29,58.62,172,0,2,46.9,4,15,5.93,2.83,0,0,,0,,0,0,,0,,,0,0,0,0,,0
16,1984,1984-09-30,5,24.094,DEN,,RAI,W 16-13,*,14,26,53.85,139,0,1,53.2,2,18,5.35,3.62,5,13,2.60,0,,0,0,,0,,,0,0,0,0,,0
17,1984,1984-10-07,6,24.101,DEN,@,DET,W 28-7,*,16,22,72.73,210,1,1,98.7,3,31,9.55,8.41,4,8,2.00,0,,0,0,,0,,,0,0,0,0,,0
18,1984,1984-10-15,7,24.109,DEN,,GNB,W 17-14,*,11,20,55.00,101,0,1,48.1,0,0,5.05,2.80,1,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
19,1984,1984-10-21,8,24.115,DEN,@,BUF,W 37-7,*,12,23,52.17,148,2,0,101.4,1,1,6.43,8.17,1,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
20,1984,1984-11-04,10,24.129,DEN,,NWE,W 26-19,*,26,40,65.00,315,3,1,103.6,3,24,7.88,8.25,4,3,0.75,0,,0,0,,0,,,0,0,0,0,,0
21,1984,1984-11-11,11,24.136,DEN,@,SDG,W 16-13,*,19,35,54.29,188,0,0,69.7,3,11,5.37,5.37,6,25,4.17,0,,0,0,,0,,,0,0,0,0,,0
22,1984,1984-11-18,12,24.143,DEN,,MIN,W 42-21,*,16,19,84.21,218,5,0,154.1,0,0,11.47,16.74,1,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
23,1984,1984-11-25,13,24.150,DEN,,SEA,L 24-27,*,15,27,55.56,275,2,1,100.1,2,17,10.19,10.00,5,43,8.60,0,,0,0,,0,,,0,0,0,0,,0
24,1984,1984-12-02,14,24.157,DEN,@,KAN,L 13-16,*,16,36,44.44,183,1,1,58.0,3,19,5.08,4.39,3,24,8.00,0,,0,0,,0,,,0,0,0,0,,0
25,1984,1984-12-09,15,24.164,DEN,,SDG,W 16-13,*,18,31,58.06,193,0,1,63.0,1,12,6.23,4.77,7,23,3.29,0,,0,0,,0,,,0,0,0,0,,0
26,1984,1984-12-15,16,24.170,DEN,@,SEA,W 31-14,*,9,21,42.86,148,1,4,43.5,0,0,7.05,-0.57,9,43,4.78,1,,0,0,,0,,,1,6,0,0,,0
27,1985,1985-09-08,1,25.072,DEN,@,RAM,L 16-20,*,18,38,47.37,229,2,1,73.2,2,15,6.03,5.89,1,7,7.00,0,,0,0,,0,,,0,0,0,0,,0
28,1985,1985-09-15,2,25.079,DEN,,NOR,W 34-23,*,28,43,65.12,353,4,1,111.9,3,26,8.21,9.02,3,2,0.67,0,,0,0,,0,,,0,0,0,0,,0
29,1985,1985-09-22,3,25.086,DEN,@,ATL,W 44-28,*,19,38,50.00,291,3,2,80.0,2,11,7.66,6.87,6,32,5.33,0,,0,0,,0,,,0,0,0,0,,0
30,1985,1985-09-29,4,25.093,DEN,,MIA,L 26-30,*,18,37,48.65,250,0,1,59.5,3,24,6.76,5.54,4,32,8.00,0,,0,0,,0,,,0,0,0,0,,0
31,1985,1985-10-06,5,25.100,DEN,,HOU,W 31-20,*,17,35,48.57,256,3,3,65.9,2,15,7.31,5.17,5,24,4.80,0,,0,0,,0,,,0,0,0,0,,0
32,1985,1985-10-13,6,25.107,DEN,@,IND,W 15-10,*,17,36,47.22,239,0,1,57.5,2,16,6.64,5.39,6,49,8.17,0,,0,0,,0,,,0,0,0,0,,0
33,1985,1985-10-20,7,25.114,DEN,,SEA,W 13-10,*,22,43,51.16,166,0,0,60.8,3,18,3.86,3.86,3,-3,-1.00,0,,0,0,,0,,,0,0,0,0,,0
34,1985,1985-10-27,8,25.121,DEN,@,KAN,W 30-10,*,13,20,65.00,116,0,0,80.4,2,5,5.80,5.80,2,16,8.00,0,,0,0,,0,,,0,0,0,0,,0
35,1985,1985-11-03,9,25.128,DEN,@,SDG,L 10-30,*,20,35,57.14,222,0,2,52.3,4,45,6.34,3.77,3,27,9.00,0,,0,0,,0,,,0,0,0,0,,0
36,1985,1985-11-11,10,25.136,DEN,,SFO,W 17-16,*,20,42,47.62,215,2,1,69.0,0,0,5.12,5.00,3,16,5.33,0,,0,0,,0,,,0,0,0,0,,0
37,1985,1985-11-17,11,25.142,DEN,,SDG,W 30-24,*,28,50,56.00,261,1,2,60.5,3,21,5.22,3.82,2,8,4.00,0,,0,0,,0,,,0,0,0,0,,0
38,1985,1985-11-24,12,25.149,DEN,@,RAI,L 28-31,*,19,32,59.38,164,3,0,104.2,4,26,5.13,7.00,2,25,12.50,0,,0,0,,0,,,0,0,0,0,,0
39,1985,1985-12-01,13,25.156,DEN,@,PIT,W 31-23,*,24,41,58.54,238,1,1,73.0,0,0,5.80,5.20,2,3,1.50,0,,0,0,,0,,,0,0,0,0,,0
40,1985,1985-12-08,14,25.163,DEN,,RAI,L 14-17,*,18,36,50.00,158,1,3,36.6,3,38,4.39,1.19,3,11,3.67,0,,0,0,,0,,,0,0,0,0,,0
41,1985,1985-12-14,15,25.169,DEN,,KAN,W 14-13,*,22,37,59.46,301,1,5,55.0,0,0,8.14,2.59,6,4,0.67,0,,0,0,,0,,,0,0,0,0,,0
42,1985,1985-12-20,16,25.175,DEN,@,SEA,W 27-24,*,24,42,57.14,432,1,0,100.5,5,47,10.29,10.76,0,0,,0,,0,0,,0,,,0,0,0,0,,0
43,1986,1986-09-07,1,26.071,DEN,,RAI,W 38-36,*,21,35,60.00,239,2,0,99.6,2,18,6.83,7.97,0,0,,0,,1,23,23.00,1,,,1,6,0,0,,0
44,1986,1986-09-15,2,26.079,DEN,@,PIT,W 21-10,*,21,38,55.26,243,3,0,101.1,1,8,6.39,7.97,2,-5,-2.50,0,,0,0,,0,,,0,0,0,0,,0
45,1986,1986-09-21,3,26.085,DEN,@,PHI,W 33-7,*,7,12,58.33,96,1,0,111.8,3,25,8.00,9.67,1,11,11.00,0,,0,0,,0,,,0,0,0,0,,0
46,1986,1986-09-28,4,26.092,DEN,,NWE,W 27-20,*,18,34,52.94,188,1,1,66.8,1,5,5.53,4.79,1,3,3.00,0,,0,0,,0,,,0,0,0,0,,0
47,1986,1986-10-05,5,26.099,DEN,,DAL,W 29-14,*,12,24,50.00,200,3,0,118.1,1,2,8.33,10.83,3,22,7.33,0,,0,0,,0,,,0,0,0,0,,0
48,1986,1986-10-12,6,26.106,DEN,@,SDG,W 31-14,*,20,34,58.82,242,1,1,78.3,0,0,7.12,6.38,2,18,9.00,0,,0,0,,0,,,0,0,0,0,,0
49,1986,1986-10-20,7,26.114,DEN,@,NYJ,L 10-22,*,13,28,46.43,145,0,1,47.5,5,27,5.18,3.57,3,22,7.33,0,,0,0,,0,,,0,0,0,0,,0
50,1986,1986-10-26,8,26.120,DEN,,SEA,W 20-13,*,18,32,56.25,321,1,1,88.2,0,0,10.03,9.25,7,-6,-0.86,0,,0,0,,0,,,0,0,0,0,,0
51,1986,1986-11-02,9,26.127,DEN,@,RAI,W 21-10,*,11,12,91.67,141,1,0,143.4,2,9,11.75,13.42,1,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
