ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-12-17,12,30.072,RAM,,GNB,L 21-35,0,0,,0,2,2,100.0,,,,0,2,,,
2,1961,1961-10-15,5,31.009,RAM,@,DET,L 13-14,0,0,,0,,,,,,,0,0,1,17,0
3,1961,1961-10-22,6,31.016,RAM,@,NYG,L 14-24,0,0,,0,,,,,,,0,0,1,10,0
4,1961,1961-12-09,13,31.064,RAM,,BAL,W 34-17,0,0,,0,,,,,,,0,0,1,0,0
5,1961,1961-12-17,14,31.072,RAM,,GNB,L 17-24,0,0,,0,,,,,,,0,0,1,17,0
6,1962,1962-11-25,11,32.050,RAM,@,MIN,T 24-24,0,8,,0,,,,,,,0,,,,
