ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-09-02,1,23.296,CHI,,DAL,W 22-6,0,0,0,,0,0.0%,,2,34,17.00,0
2,1996,1996-09-08,2,23.302,CHI,@,WAS,L 3-10,0,0,0,,0,0.0%,,2,30,15.00,0
3,1996,1996-09-15,3,23.309,CHI,,MIN,L 14-20,0,0,0,,0,0.0%,,3,61,20.33,0
4,1996,1996-09-22,4,23.316,CHI,@,DET,L 16-35,6,2,20,10.00,0,33.3%,3.33,5,128,25.60,0
5,1996,1996-09-29,5,23.323,CHI,,OAK,W 19-17,0,0,0,,0,0.0%,,2,59,29.50,0
6,1996,1996-11-03,9,23.358,CHI,,TAM,W 13-10,0,0,0,,0,0.0%,,1,21,21.00,0
7,1996,1996-11-10,10,23.365,CHI,@,DEN,L 12-17,0,0,0,,0,0.0%,,1,17,17.00,0
8,1996,1996-11-24,12,24.013,CHI,,DET,W 31-14,2,1,12,12.00,0,50.0%,6.00,0,0,,0
9,1996,1996-12-01,13,24.020,CHI,@,GNB,L 17-28,0,0,0,,0,0.0%,,3,72,24.00,0
10,1996,1996-12-08,14,24.027,CHI,,STL,W 35-9,0,0,0,,0,0.0%,,1,14,14.00,0
11,1996,1996-12-14,15,24.033,CHI,,SDG,W 27-14,0,0,0,,0,0.0%,,2,95,47.50,0
12,1996,1996-12-22,16,24.041,CHI,@,TAM,L 19-34,2,1,7,7.00,0,50.0%,3.50,5,88,17.60,0
