ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1991,1991-09-01,1,22.016,NWE,@,IND,W 16-7,,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
2,1991,1991-09-08,2,22.023,NWE,,CLE,L 0-20,,,0,0,,0,,,0,0,,0,0,0,,0,0,
3,1991,1991-09-15,3,22.030,NWE,@,PIT,L 6-20,,,0,0,,0,,,0,0,,0,0,0,,0,0,
4,1991,1991-09-22,4,22.037,NWE,,HOU,W 24-20,,,0,0,,0,,,0,0,,0,0,0,,0,0,
5,1991,1991-09-29,5,22.044,NWE,@,PHO,L 10-24,,,0,0,,0,,,0,0,,0,0,0,,0,0,
6,1991,1991-10-06,6,22.051,NWE,,MIA,L 10-20,,,0,0,,0,,,0,0,,0,0,0,,0,0,
7,1991,1991-10-20,7,22.065,NWE,,MIN,W 26-23,,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
8,1991,1991-10-27,8,22.072,NWE,,DEN,L 6-9,,,0,0,,0,,,0,0,,0,0,0,,0,0,
9,1991,1991-11-03,9,22.079,NWE,@,BUF,L 17-22,,,4,41,10.25,0,,,0,0,,0,0,0,,0,0,0
10,1991,1991-11-10,10,22.086,NWE,@,MIA,L 20-30,,,0,0,,0,,,0,0,,0,0,0,,0,0,
11,1991,1991-11-17,11,22.093,NWE,,NYJ,L 21-28,,,1,7,7.00,0,,,0,0,,0,1,6,6.00,0,0,0
12,1991,1991-11-24,12,22.100,NWE,,BUF,W 16-13,,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0
13,1991,1991-12-01,13,22.107,NWE,@,DEN,L 3-20,,,0,0,,0,,,0,0,,0,0,0,,0,0,
14,1991,1991-12-08,14,22.114,NWE,,IND,W 23-17,,,1,2,2.00,1,,,1,-6,-6.00,0,0,0,,0,1,6
15,1991,1991-12-15,15,22.121,NWE,@,NYJ,W 6-3,,,0,0,,0,,,0,0,,0,0,0,,0,0,
16,1991,1991-12-22,16,22.128,NWE,@,CIN,L 7-29,,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0
17,1992,1992-09-13,1,23.028,NWE,@,RAM,L 0-14,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
18,1992,1992-09-20,2,23.035,NWE,,SEA,L 6-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
19,1992,1992-09-27,3,23.042,NWE,,BUF,L 7-41,,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,0
20,1992,1992-10-04,4,23.049,NWE,@,NYJ,L 21-30,,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,0
21,1992,1992-10-11,5,23.056,NWE,,SFO,L 12-24,,8,5,45,9.00,1,62.5%,5.63,0,0,,0,0,0,,0,1,6
22,1992,1992-10-18,6,23.063,NWE,@,MIA,L 17-38,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
23,1992,1992-10-25,7,23.070,NWE,,CLE,L 17-19,,5,3,35,11.67,1,60.0%,7.00,0,0,,0,0,0,,0,1,6
24,1992,1992-11-01,8,23.077,NWE,@,BUF,L 7-16,,,0,0,,0,0.0%,,0,0,,0,,,,,0,
25,1992,1992-11-08,9,23.084,NWE,,NOR,L 14-31,,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,0,0
26,1992,1992-11-15,10,23.091,NWE,@,IND,W 37-34,,1,1,2,2.00,1,100.0%,2.00,0,0,,0,0,0,,0,1,6
27,1992,1992-11-22,11,23.098,NWE,,NYJ,W 24-3,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
28,1992,1992-11-29,12,23.105,NWE,@,ATL,L 0-34,,,0,0,,0,0.0%,,0,0,,0,,,,,0,
29,1992,1992-12-06,13,23.112,NWE,,IND,L 0-6,,2,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0,,0,0,0
30,1992,1992-12-13,14,23.119,NWE,@,KAN,L 20-27,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
31,1992,1992-12-20,15,23.126,NWE,@,CIN,L 10-20,,,0,0,,0,0.0%,,0,0,,0,,,,,0,
32,1992,1992-12-27,16,23.133,NWE,,MIA,L 13-16,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0
33,1993,1993-09-05,1,24.020,NWE,@,BUF,L 14-38,,2,1,54,54.00,1,50.0%,27.00,0,0,,0,0,0,,0,1,6
34,1993,1993-09-12,2,24.027,NWE,,DET,L 16-19,,7,6,39,6.50,0,85.7%,5.57,0,0,,0,0,0,,0,0,0
35,1993,1993-09-19,3,24.034,NWE,,SEA,L 14-17,,7,4,47,11.75,1,57.1%,6.71,0,0,,0,0,0,,0,1,6
36,1993,1993-09-26,4,24.041,NWE,@,NYJ,L 7-45,,5,1,6,6.00,0,20.0%,1.20,0,0,,0,0,0,,0,0,0
37,1993,1993-10-10,5,24.055,NWE,@,PHO,W 23-21,,6,4,24,6.00,2,66.7%,4.00,0,0,,0,0,0,,0,2,12
38,1993,1993-10-17,6,24.062,NWE,,HOU,L 14-28,,7,3,68,22.67,0,42.9%,9.71,0,0,,0,0,0,,0,0,0
39,1993,1993-10-24,7,24.069,NWE,@,SEA,L 9-10,,5,3,10,3.33,0,60.0%,2.00,0,0,,0,0,0,,0,0,0
40,1993,1993-10-31,8,24.076,NWE,@,IND,L 6-9,,6,6,108,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0
41,1993,1993-11-07,9,24.083,NWE,,BUF,L 10-13,,7,3,22,7.33,0,42.9%,3.14,0,0,,0,0,0,,0,0,0
42,1993,1993-11-21,10,24.097,NWE,@,MIA,L 13-17,,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,0
