ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1994,1994-09-04,1,23.335,NYG,,PHI,W 28-23,,,0,0,,0,0.0%,,0,0,,0,,,,,,
2,1994,1994-09-11,2,23.342,NYG,@,ARI,W 20-17,,,0,0,,0,0.0%,,0,0,,0,,,,,,
3,1994,1994-09-18,3,23.349,NYG,,WAS,W 31-23,,0,0,0,,0,0.0%,,0,0,,0,,,,,,
4,1994,1994-10-02,4,23.363,NYG,@,NOR,L 22-27,,,0,0,,0,0.0%,,0,0,,0,,,,,,
5,1994,1994-10-10,5,24.006,NYG,,MIN,L 10-27,,,0,0,,0,0.0%,,0,0,,0,,,,,,
6,1994,1994-10-16,6,24.012,NYG,@,RAM,L 10-17,,0,0,0,,0,0.0%,,0,0,,0,,,,,,
7,1994,1994-10-23,7,24.019,NYG,,PIT,L 6-10,,0,0,0,,0,0.0%,,0,0,,0,,,,,,
8,1994,1994-10-30,8,24.026,NYG,,DET,L 25-28,,0,0,0,,0,0.0%,,0,0,,0,,,,,,
9,1994,1994-11-07,9,24.034,NYG,@,DAL,L 10-38,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
10,1994,1994-11-13,10,24.040,NYG,,ARI,L 9-10,,,0,0,,0,0.0%,,0,0,,0,,,,,,
11,1994,1994-11-21,11,24.048,NYG,@,HOU,W 13-10,,,0,0,,0,0.0%,,0,0,,0,,,,,,
12,1994,1994-11-27,12,24.054,NYG,@,WAS,W 21-19,,0,0,0,,0,0.0%,,1,14,14.00,0,0,0,,0,0,0
13,1994,1994-12-04,13,24.061,NYG,@,CLE,W 16-13,,,0,0,,0,0.0%,,0,0,,0,,,,,,
14,1994,1994-12-11,14,24.068,NYG,,CIN,W 27-20,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0,0,0
15,1994,1994-12-18,15,24.075,NYG,@,PHI,W 16-13,,,0,0,,0,0.0%,,0,0,,0,,,,,,
16,1994,1994-12-24,16,24.081,NYG,,DAL,W 15-10,,,0,0,,0,0.0%,,0,0,,0,,,,,,
17,1995,1995-09-04,1,24.335,NYG,,DAL,L 0-35,,,0,0,,0,0.0%,,0,0,,0,,,,,,
18,1995,1995-09-10,2,24.341,NYG,@,KAN,L 17-20,,,0,0,,0,0.0%,,0,0,,0,,,,,,
19,1995,1995-09-17,3,24.348,NYG,@,GNB,L 6-14,,0,0,0,,0,0.0%,,0,0,,0,,,,,,
