From,To,Weight
a.j._green
a.j._green,___Mostly Cloudy,162
a.j._green,___Overcast,103
a.j._green,___Mostly Cloudy,155
a.j._green,___Fair,115
a.j._green,___A Few Clouds,128
a.j._green,___Breezy,151
a.j._green,___Mostly Clear,83
a.j._green,___Overcast,72
a.j._green,___Overcast and Breezy,93
a.j._green,___Partly Cloudy,97
a.j._jenkins
aaron_dobson
aaron_dobson,___Fair,130
ace_sanders
aldrick_robinson
alshon_jeffery
alshon_jeffery,___Fog/Mist,107
alshon_jeffery,___Mostly Cloudy,218
alshon_jeffery,___Fair,105
alshon_jeffery,___A Few Clouds,114
alshon_jeffery,___Overcast and Windy,83
alshon_jeffery,___Overcast with Haze,249
alshon_jeffery,___Overcast,84
alshon_jeffery,___Light Snow,72
alshon_jeffery,___Mostly Cloudy,76
alshon_jeffery,___Overcast,80
andre_caldwell
andre_holmes
andre_johnson
andre_johnson,___,146
andre_johnson,___Mostly Cloudy,76
andre_johnson,___Mostly Cloudy,110
andre_johnson,___Overcast,88
andre_johnson,___Fair,89
andre_johnson,___A Few Clouds,229
andre_johnson,___Mostly Cloudy,116
andre_johnson,___Mostly Cloudy,121
andre_johnson,___Fair,154
andre_roberts
anquan_boldin
anquan_boldin,___,208
anquan_boldin,___Fair,90
anquan_boldin,___Fair,74
anquan_boldin,___A Few Clouds,94
anquan_boldin,___Areas Fog,98
anquan_boldin,___Clear,93
anquan_boldin,___A Few Clouds,72
anquan_boldin,___Fair,149
antonio_brown
antonio_brown,___Overcast,196
antonio_brown,___Fair,86
antonio_brown,___Mostly Cloudy,82
antonio_brown,___Overcast,104
antonio_brown,___Light Rain,147
antonio_brown,___Snow and Breezy,92
antonio_brown,___Light Snow Fog/Mist,138
antonio_brown,___Light Snow Fog/Mist,105
antonio_brown,___Light Rain Fog/Mist,87
austin_collie
austin_pettis
austin_pettis,___Mostly Cloudy,78
brandon_gibson
brandon_gibson,___A Few Clouds,74
brandon_lafell
brandon_lafell,___Mostly Cloudy,107
brandon_lafell,___A Few Clouds,74
brandon_marshall
brandon_marshall,___Mostly Cloudy,104
brandon_marshall,___Light Rain,113
brandon_marshall,___Fog/Mist,79
brandon_marshall,___Fair,87
brandon_marshall,___Fair,75
brandon_marshall,___Overcast,107
brandon_marshall,___A Few Clouds,139
brandon_marshall,___Mostly Cloudy,117
brandon_marshall,___Overcast,100
brandon_marshall,___Light Snow,95
brandon_marshall,___Overcast,74
brian_hartline
brian_hartline,___Light Rain,78
brian_hartline,___Overcast,127
brian_quick
brian_quick,___Partly Cloudy,97
brice_butler
bryan_walters
calvin_johnson
calvin_johnson,___A Few Clouds,116
calvin_johnson,___Overcast,115
calvin_johnson,___Mostly Cloudy,155
calvin_johnson,___Mostly Cloudy,329
calvin_johnson,___A Few Clouds,83
calvin_johnson,___Light Rain,179
calvin_johnson,___Mostly Cloudy,115
calvin_johnson,___Overcast,101
calvin_johnson,___Overcast,98
cecil_shorts
cecil_shorts,___Fair,93
cecil_shorts,___Mostly Cloudy,143
cecil_shorts,___Mostly Cloudy,74
cecil_shorts,___Fair,80
cecil_shorts,___Fair,74
chris_givens
chris_givens,___Mostly Cloudy,105
chris_owusu
clyde_gates
cole_beasley
cordarrelle_patterson
cordarrelle_patterson,___Wintry Mix,141
da'rick_rogers
damian_williams
dane_sanzenbacher
danny_amendola
danny_amendola,___Partly Cloudy,104
danny_amendola,___Fair,122
danny_amendola,___Partly Cloudy,131
darius_johnson
darrius_heyward-bey
david_nelson
david_nelson,___Fair,80
davone_bess
deandre_hopkins
deandre_hopkins,___Mostly Cloudy,117
deandre_hopkins,___Fair,76
deandre_hopkins,___Mostly Cloudy,77
deandre_hopkins,___Fair,76
demaryius_thomas
demaryius_thomas,___Mostly Cloudy,161
demaryius_thomas,___Partly Cloudy,94
demaryius_thomas,___Mostly Cloudy,86
demaryius_thomas,___Partly Cloudy with Haze,78
demaryius_thomas,___A Few Clouds,82
demaryius_thomas,___Partly Cloudy,75
demaryius_thomas,___,108
demaryius_thomas,___Breezy,121
demaryius_thomas,___Fair with Haze,106
demaryius_thomas,___A Few Clouds with Haze,88
demaryius_thomas,___Overcast,123
demaryius_thomas,___A Few Clouds,113
denarius_moore
denarius_moore,___Partly Cloudy,124
denarius_moore,___Partly Cloudy,84
denarius_moore,___Fair,82
denarius_moore,___Overcast,82
desean_jackson
desean_jackson,___Mostly Cloudy,104
desean_jackson,___Mostly Cloudy,193
desean_jackson,___Fog/Mist,132
desean_jackson,___Overcast,150
