From,To,Weight
a.j._green
a.j._green,___Partly Cloudy,180
a.j._green,___Clear,77
a.j._green,___Mostly Cloudy,173
a.j._green,___Clear,88
a.j._green,___Clear,169
a.j._green,___Mostly Cloudy,121
aaron_burbridge
adam_humphries
adam_thielen
adam_thielen,___Clear,127
adam_thielen,___Clear,101
adam_thielen,___Mostly Cloudy,202
albert_wilson
aldrick_robinson
aldrick_robinson,___Mostly Cloudy,111
allen_hurns
allen_hurns,___Partly Cloudy,75
allen_hurns,___Overcast,74
allen_hurns,___Clear,98
allen_robinson
allen_robinson,___Partly Cloudy,72
allen_robinson,___Clear,76
allen_robinson,___Partly Cloudy,107
allen_robinson,___Mostly Cloudy,147
allen_robinson,___Clear,82
alshon_jeffery
alshon_jeffery,___Clear,105
alshon_jeffery,___Clear,96
alshon_jeffery,___Clear,77
alshon_jeffery,___Overcast,93
alshon_jeffery,___Partly Cloudy,89
alshon_jeffery,___Mostly Cloudy,92
amari_cooper
amari_cooper,___Partly Cloudy,137
amari_cooper,___Clear,138
amari_cooper,___Light Rain,129
amari_cooper,___Clear,173
amari_cooper,___Clear,76
andrew_hawkins
andre_holmes
andre_johnson
andre_roberts
anquan_boldin
antonio_brown
antonio_brown,___Clear,126
antonio_brown,___Clear,140
antonio_brown,___Partly Cloudy,78
antonio_brown,___Clear,106
antonio_brown,___Mostly Cloudy,85
antonio_brown,___Clear,154
antonio_brown,___Overcast,76
antonio_brown,___Overcast,91
antonio_brown,___Snow,78
antonio_brown,___Partly Cloudy,96
brandin_cooks
brandin_cooks,___Partly Cloudy,143
brandin_cooks,___Clear,173
brandin_cooks,___Partly Cloudy,98
brandin_cooks,___Light Rain,73
brandin_cooks,___Mostly Cloudy,98
brandon_coleman
brandon_coleman,___Light Rain,78
brandon_lafell
brandon_lafell,___Partly Cloudy,91
brandon_lafell,___Clear,83
brandon_lafell,___Mostly Cloudy,95
brandon_lafell,___Mostly Cloudy,91
brandon_lafell,___Partly Cloudy,130
brandon_marshall
brandon_marshall,___Clear,101
brandon_marshall,___Overcast,89
brandon_marshall,___Partly Cloudy,114
brandon_tate
braxton_miller
breshad_perriman
brian_quick
brian_quick,___Partly Cloudy,92
brice_butler
brittan_golden
bryan_walters
bryan_walters,___Clear,84
bryce_treggs
c.j._goodwin
cameron_meredith
cameron_meredith,___Clear,130
cameron_meredith,___Overcast,113
cameron_meredith,___Light Snow,72
cameron_meredith,___Partly Cloudy,104
cameron_meredith,___Mostly Cloudy,135
cecil_shorts
charles_johnson
charone_peake
chester_rogers
chris_conley
chris_harper
chris_hogan
chris_hogan,___Partly Cloudy,114
chris_hogan,___Drizzle,91
chris_hogan,___Clear,129
cobi_hamilton
cody_core
cody_core,___Foggy,82
cody_latimer
cole_beasley
cole_beasley,___Clear,75
cordarrelle_patterson
corey_brown
corey_coleman
corey_coleman,___Partly Cloudy,104
daniel_brown
danny_amendola
darren_waller
davante_adams
davante_adams,___Clear,85
davante_adams,___Mostly Cloudy,132
davante_adams,___Clear,74
davante_adams,___Clear,156
davante_adams,___Partly Cloudy,113
davante_adams,___Mostly Cloudy,104
deandre_hopkins
deandre_hopkins,___Partly Cloudy,113
deandre_hopkins,___Mostly Cloudy,87
deandre_hopkins,___Mostly Cloudy,123
demarcus_ayers
demaryius_thomas
demaryius_thomas,___Clear,90
demaryius_thomas,___Clear,100
demaryius_thomas,___Drizzle,94
demaryius_thomas,___Mostly Cloudy,79
demaryius_thomas,___Partly Cloudy,87
demaryius_thomas,___Partly Cloudy,126
demaryius_thomas,___Clear,91
denard_robinson
deonte_thompson
deonte_thompson,___Partly Cloudy,110
desean_jackson
desean_jackson,___Clear,102
desean_jackson,___Clear,96
desean_jackson,___Clear,118
desean_jackson,___Mostly Cloudy,102
desean_jackson,___Partly Cloudy,111
desean_jackson,___Mostly Cloudy,114
devante_parker
devante_parker,___Partly Cloudy,106
devante_parker,___Clear,103
devante_parker,___Partly Cloudy,79
devin_funchess
dez_bryant
dez_bryant,___Clear,102
dez_bryant,___Clear,113
dez_bryant,___Clear,116
dez_bryant,___Clear,80
dez_bryant,___Clear,72
dez_bryant,___Overcast,84
dez_bryant,___Clear,82
donte_moncrief
dontrelle_inman
dontrelle_inman,___Clear,120
dontrelle_inman,___Mostly Cloudy,72
dontrelle_inman,___Clear,119
dorial_green-beckham
doug_baldwin
doug_baldwin,___Partly Cloudy,92
doug_baldwin,___Partly Cloudy,164
doug_baldwin,___Mostly Cloudy,89
doug_baldwin,___Overcast,104
doug_baldwin,___Mostly Cloudy,171
dwayne_harris
eddie_royal
eli_rogers
eli_rogers,___Mostly Cloudy,75
eli_rogers,___Partly Cloudy,84
emmanuel_sanders
emmanuel_sanders,___Clear,117
emmanuel_sanders,___Drizzle,88
emmanuel_sanders,___Mostly Cloudy,80
emmanuel_sanders,___Partly Cloudy,86
emmanuel_sanders,___Mostly Cloudy,162
emmanuel_sanders,___Partly Cloudy,100
eric_decker
eric_decker,___Clear,126
geronimo_allison
geronimo_allison,___Clear,91
golden_tate
golden_tate,___Mostly Cloudy,165
golden_tate,___Clear,93
golden_tate,___Clear,79
golden_tate,___Mostly Cloudy,77
golden_tate,___Light Rain,145
golden_tate,___Mostly Cloudy,122
golden_tate,___Clear,77
greg_salas
greg_salas,___Clear,89
harry_douglas
ifeanyi_momah
isaiah_burse
jaelen_strong
jalin_marshall
james_wright
jamison_crowder
jamison_crowder,___Clear,78
jamison_crowder,___Clear,108
jarius_wright
jaron_brown
jaron_brown,___Clear,78
jarvis_landry
jarvis_landry,___Partly Cloudy,135
jarvis_landry,___Partly Cloudy,120
jarvis_landry,___Partly Cloudy,91
jarvis_landry,___Partly Cloudy,78
jarvis_landry,___Clear,87
jarvis_landry,___Partly Cloudy,103
jarvis_landry,___Mostly Cloudy,108
jarvis_landry,___Mostly Cloudy,76
jeff_janis
jeremy_kerley
jeremy_kerley,___Partly Cloudy,88
jeremy_kerley,___Clear,102
jeremy_maclin
jeremy_maclin,___Rain,78
jeremy_maclin,___Clear,82
jeremy_ross
jermaine_kearse
jj_nelson
jj_nelson,___Clear,79
jj_nelson,___Mostly Cloudy,132
john_brown
john_brown,___Mostly Cloudy,144
john_brown,___Clear,81
jordan_matthews
jordan_matthews,___Clear,114
jordan_matthews,___Clear,88
jordan_matthews,___Clear,73
jordan_matthews,___Mostly Cloudy,79
jordan_norwood
jordy_nelson
jordy_nelson,___Mostly Cloudy,73
jordy_nelson,___Mostly Cloudy,101
jordy_nelson,___Clear,94
jordy_nelson,___Clear,94
jordy_nelson,___Clear,126
jordy_nelson,___Partly Cloudy,91
jordy_nelson,___Snow,118
jordy_nelson,___Partly Cloudy,124
jordy_nelson,___Mostly Cloudy,154
josh_bellamy
josh_bellamy,___Light Rain,93
josh_huff
julian_edelman
julian_edelman,___Partly Cloudy,76
julian_edelman,___Clear,99
julian_edelman,___Light Rain,77
julian_edelman,___Partly Cloudy,83
julian_edelman,___Partly Cloudy,101
julian_edelman,___Mostly Cloudy,151
julio_jones
julio_jones,___Clear,106
julio_jones,___Partly Cloudy,300
julio_jones,___Mostly Cloudy,139
julio_jones,___Clear,174
julio_jones,___Partly Cloudy,111
julio_jones,___Clear,135
julio_jones,___Mostly Cloudy,113
julio_jones,___Light Rain,96
justin_hardy
justin_hunter
kamar_aiken
keenan_allen
keith_mumphery
kelvin_benjamin
kelvin_benjamin,___Partly Cloudy,108
kelvin_benjamin,___Clear,86
kelvin_benjamin,___Clear,73
kelvin_benjamin,___Partly Cloudy,84
kelvin_benjamin,___Clear,93
kendall_wright
kenny_britt
kenny_britt,___Clear,94
kenny_britt,___Mostly Cloudy,82
kenny_britt,___Clear,75
kenny_britt,___Mostly Cloudy,136
kenny_britt,___Clear,109
kenny_britt,___Mostly Cloudy,82
kenny_stills
kenny_stills,___Partly Cloudy,76
kenny_stills,___Mostly Cloudy,74
kenny_stills,___Partly Cloudy,100
kenny_stills,___Clear,72
