From,To,Weight
a.j._green
a.j._green,___Clear,74
a.j._green,___Clear,111
a.j._green,___Rain,189
a.j._green,___Mostly Cloudy,115
a.j._green,___Partly Cloudy,77
a.j._green,___Mostly Cloudy,81
adam_humphries
adam_humphries,___Clear,102
adam_thielen
adam_thielen,___Clear,157
adam_thielen,___Clear,98
adam_thielen,___Mostly Cloudy,96
adam_thielen,___Clear,98
adam_thielen,___Clear,166
adam_thielen,___Clear,123
adam_thielen,___Mostly Cloudy,89
adam_thielen,___Clear,105
albert_wilson
albert_wilson,___Clear,72
aldrick_robinson
allen_hurns
allen_hurns,___Clear,82
allen_hurns,___Partly Cloudy,101
allen_robinson
alshon_jeffery
alshon_jeffery,___Overcast,92
alshon_jeffery,___Overcast,84
amari_cooper
amari_cooper,___Partly Cloudy,210
andre_holmes
antonio_brown
antonio_brown,___Clear,182
antonio_brown,___Clear,110
antonio_brown,___Mostly Cloudy,157
antonio_brown,___Clear,155
antonio_brown,___Mostly Cloudy,144
antonio_brown,___Clear,169
antonio_brown,___Partly Cloudy,101
antonio_brown,___Mostly Cloudy,213
ardarius_stewart
bennie_fowler
brandin_cooks
brandin_cooks,___Clear,88
brandin_cooks,___Clear,131
brandin_cooks,___Partly Cloudy,85
brandin_cooks,___Mostly Cloudy,93
brandin_cooks,___Clear,74
brandin_cooks,___Mostly Cloudy,149
brandin_cooks,___Partly Cloudy,83
brandin_cooks,___Clear,79
brandon_coleman
brandon_coleman,___Clear,82
brandon_lafell
brandon_lafell,___Mostly Cloudy,95
brandon_marshall
brandon_tate
braxton_miller
brenton_bersin
breshad_perriman
brian_quick
bruce_ellington
bryce_treggs
chad_hansen
chad_williams
chester_rogers
chris_conley
chris_godwin
chris_godwin,___Mostly Cloudy,98
chris_hogan
chris_hogan,___Clear,78
chris_hogan,___Partly Cloudy,74
chris_moore
cobi_hamilton
cody_latimer
cole_beasley
cooper_kupp
cooper_kupp,___Clear,118
cordarrelle_patterson
cordarrelle_patterson,___Clear,97
corey_coleman
corey_coleman,___Light Rain,80
corey_davis
corey_davis,___Mostly Cloudy,91
curtis_samuel
damiere_byrd
daniel_brown
danny_amendola
danny_amendola,___Clear,76
darius_powe
davante_adams
davante_adams,___Clear,99
davante_adams,___Light Rain,90
davante_adams,___Partly Cloudy,126
davante_adams,___Clear,82
davante_adams,___Mostly Cloudy,84
deandrew_white
deandre_hopkins
deandre_hopkins,___Mostly Cloudy,73
deandre_hopkins,___Clear,76
deandre_hopkins,___Clear,107
deandre_hopkins,___Overcast,224
deandre_hopkins,___Humid and Partly Cloudy,86
deandre_hopkins,___Clear,111
deandre_hopkins,___Clear,76
deandre_hopkins,___Clear,125
deandre_hopkins,___Clear,80
deandre_hopkins,___Clear,149
deandre_hopkins,___Clear,80
dede_westbrook
dede_westbrook,___Mostly Cloudy,78
dede_westbrook,___Clear,81
dede_westbrook,___Partly Cloudy,74
demarcus_robinson
demaryius_thomas
demaryius_thomas,___Clear,98
demaryius_thomas,___Clear,133
demaryius_thomas,___Clear,93
deonte_thompson
deonte_thompson,___Clear,91
derek_carrier
desean_jackson
desean_jackson,___Clear,84
desean_jackson,___Partly Cloudy,106
desean_jackson,___Clear,73
desean_jackson,___Mostly Cloudy,82
devante_parker
devante_parker,___Partly Cloudy,85
devante_parker,___Clear,76
devante_parker,___Overcast,89
devin_funchess
devin_funchess,___Overcast,86
devin_funchess,___Clear,92
devin_funchess,___Clear,108
dez_bryant
dez_bryant,___Clear,98
dez_bryant,___Clear,73
dez_bryant,___Drizzle,73
donte_moncrief
dontrelle_inman
dontrelle_inman,___Light Rain,88
dontrelle_inman,___Clear,94
doug_baldwin
doug_baldwin,___Clear,105
doug_baldwin,___Clear,92
doug_baldwin,___Light Rain,108
doug_baldwin,___Clear,95
doug_baldwin,___Mostly Cloudy,84
doug_baldwin,___Clear,78
doug_baldwin,___Clear,90
dwayne_harris
eli_rogers
emmanuel_sanders
emmanuel_sanders,___Clear,75
emmanuel_sanders,___Clear,76
emmanuel_sanders,___Clear,137
eric_decker
eric_decker,___Clear,88
geronimo_allison
golden_tate
golden_tate,___Partly Cloudy,107
golden_tate,___Possible Light Rain,96
golden_tate,___Clear,113
golden_tate,___Drizzle,97
golden_tate,___Clear,85
golden_tate,___Clear,104
hunter_sharp
ifeanyi_momah
j.d._mckissic
jamison_crowder
jamison_crowder,___Possible Light Rain,123
jaron_brown
jaron_brown,___Clear,73
jaron_brown,___Clear,105
jarvis_landry
jarvis_landry,___Partly Cloudy,78
jarvis_landry,___Humid and Partly Cloudy,93
jarvis_landry,___Clear,95
jarvis_landry,___Overcast,99
jarvis_landry,___Clear,92
jehu_chesson
jeremy_kerley
jeremy_maclin
jeremy_maclin,___Mostly Cloudy,98
jermaine_kearse
jermaine_kearse,___Mostly Cloudy,79
jermaine_kearse,___Mostly Cloudy,157
jesus_wilson
jj_nelson
johnny_holton
john_brown
john_ross
jordan_matthews
jordan_taylor
jordy_nelson
jordy_nelson,___Clear,79
jordy_nelson,___Partly Cloudy,75
josh_bellamy
josh_doctson
josh_doctson,___Clear,81
josh_gordon
josh_gordon,___Clear,85
josh_gordon,___Mostly Cloudy,115
josh_malone
josh_reynolds
juju_smith-schuster
juju_smith-schuster,___Mostly Cloudy,193
juju_smith-schuster,___Mostly Cloudy,97
juju_smith-schuster,___Rain,114
juju_smith-schuster,___Mostly Cloudy,75
juju_smith-schuster,___Mostly Cloudy,143
julio_jones
julio_jones,___Clear,108
julio_jones,___Clear,91
julio_jones,___Partly Cloudy,72
julio_jones,___Partly Cloudy,99
julio_jones,___Rain,74
julio_jones,___Overcast,118
julio_jones,___Clear,253
julio_jones,___Mostly Cloudy,98
julio_jones,___Clear,149
julio_jones,___Mostly Cloudy,80
justin_hardy
justin_hunter
kaelin_clay
kamar_aiken
kasen_williams
keelan_cole
keelan_cole,___Partly Cloudy,108
keenan_allen
keenan_allen,___Partly Cloudy,100
keenan_allen,___Partly Cloudy,138
keenan_allen,___Clear,159
keenan_allen,___Clear,172
keenan_allen,___Clear,105
keenan_allen,___Clear,133
kelvin_benjamin
kelvin_benjamin,___Partly Cloudy,77
kelvin_benjamin,___Clear,104
kelvin_benjamin,___Mostly Cloudy,99
kendall_wright
kendall_wright,___Mostly Cloudy,107
kendall_wright,___Mostly Cloudy,81
kenny_britt
kenny_golladay
kenny_golladay,___Clear,80
kenny_stills
kenny_stills,___Humid and Partly Cloudy,85
kenny_stills,___Clear,180
kenny_stills,___Clear,98
kevin_white
laquon_treadwell
larry_fitzgerald
larry_fitzgerald,___Partly Cloudy,74
larry_fitzgerald,___Clear,149
larry_fitzgerald,___Clear,138
larry_fitzgerald,___Clear,113
larry_fitzgerald,___Clear,91
larry_fitzgerald,___Clear,98
larry_fitzgerald,___Clear,119
louis_murphy
marqise_lee
marqise_lee,___Clear,76
marqise_lee,___Partly Cloudy,83
marqise_lee,___Partly Cloudy,72
marqise_lee,___Mostly Cloudy,75
marqise_lee,___Mostly Cloudy,86
marquise_goodwin
marquise_goodwin,___Light Rain,116
marquise_goodwin,___Clear,80
marquise_goodwin,___Clear,83
marquise_goodwin,___Partly Cloudy,78
marquise_goodwin,___Clear,99
marquise_goodwin,___Clear,106
marquise_goodwin,___Clear,114
marquis_bundy
martavis_bryant
marvin_jones
marvin_jones,___Possible Light Rain,96
marvin_jones,___Mostly Cloudy,128
marvin_jones,___Clear,107
marvin_jones,___Partly Cloudy,85
marvin_jones,___Mostly Cloudy,109
marvin_jones,___Clear,90
marvin_jones,___Mostly Cloudy,85
marvin_jones,___Clear,81
michael_crabtree
michael_crabtree,___Clear,83
michael_crabtree,___Clear,80
michael_crabtree,___Clear,82
michael_crabtree,___Light Rain,83
michael_floyd
michael_thomas
michael_thomas,___Clear,89
michael_thomas,___Clear,87
michael_thomas,___Mostly Cloudy,89
michael_thomas,___Mostly Cloudy,82
michael_thomas,___Mostly Cloudy,117
michael_thomas,___Mostly Cloudy,117
michael_thomas,___Light Rain,93
michael_thomas,___Clear,94
mike_evans
mike_evans,___Clear,93
mike_evans,___Clear,95
mike_evans,___Clear,88
mike_evans,___Clear,92
mike_evans,___Clear,78
mike_evans,___Clear,79
mike_evans,___Mostly Cloudy,107
mike_thomas
mike_thomas,___Clear,75
mike_wallace
mike_wallace,___Clear,133
mike_wallace,___Clear,116
mike_wallace,___Mostly Cloudy,72
mike_wallace,___Clear,89
mike_williams
mohamed_sanu
mohamed_sanu,___Clear,85
mohamed_sanu,___Rain,74
mohamed_sanu,___Mostly Cloudy,83
neal_sterling
nelson_agholor
nelson_agholor,___Light Rain,93
nelson_agholor,___Mostly Cloudy,141
niles_paul
noah_brown
odell_beckham
odell_beckham,___Clear,79
odell_beckham,___Rain,90
paul_richardson
paul_richardson,___Overcast,105
paul_richardson,___Clear,72
pharoh_cooper
phillip_dorsett
pierre_garcon
pierre_garcon,___Clear,81
pierre_garcon,___Clear,142
pierre_garcon,___Light Rain,94
quinton_dunbar
randall_cobb
randall_cobb,___Clear,85
rashard_higgins
rashard_higgins,___Mostly Cloudy,95
ricardo_louis
ricky_seals-jones
rishard_matthews
rishard_matthews,___Clear,87
rishard_matthews,___Mostly Cloudy,113
robby_anderson
robby_anderson,___Clear,95
robby_anderson,___Mostly Cloudy,76
robby_anderson,___Rain,104
robby_anderson,___Clear,146
robby_anderson,___Mostly Cloudy,107
robert_woods
robert_woods,___Clear,108
robert_woods,___Clear,81
roger_lewis
roger_lewis,___Overcast,74
russell_shepard
ryan_grant
ryan_grant,___Clear,76
ryan_grant,___Partly Cloudy,85
sammie_coates
sammy_watkins
sammy_watkins,___Clear,82
seth_roberts
stefon_diggs
stefon_diggs,___Clear,93
stefon_diggs,___Clear,173
stefon_diggs,___Light Rain,98
stefon_diggs,___Clear,78
sterling_shepard
sterling_shepard,___Clear,133
sterling_shepard,___Clear,142
sterling_shepard,___Overcast,139
t.j._jones
t.j._jones,___Mostly Cloudy,88
t.y._hilton
t.y._hilton,___Clear,153
t.y._hilton,___Light Rain,177
t.y._hilton,___Humid and Partly Cloudy,175
t.y._hilton,___Drizzle,100
tanner_gentry
tavarres_king
tavon_austin
taylor_gabriel
taywan_taylor
ted_ginn
ted_ginn,___Mostly Cloudy,141
ted_ginn,___Clear,76
terrance_williams
terrance_williams,___Clear,141
torrey_smith
torrey_smith,___Clear,100
travis_benjamin
travis_rudolph
trent_taylor
tre_mcbride
tyler_boyd
tyler_lockett
tyreek_hill
tyreek_hill,___Clear,77
tyreek_hill,___Mostly Cloudy,185
tyreek_hill,___Clear,75
tyreek_hill,___Clear,88
tyreek_hill,___Mostly Cloudy,109
tyrell_williams
tyrell_williams,___Partly Cloudy,115
tyrell_williams,___Clear,132
willie_snead
will_fuller
will_fuller,___Overcast,125
zay_jones
