From,To,Weight
a.j._green
a.j._green,___Mostly Cloudy,131
a.j._green,___Fair,102
a.j._green,___Fog,81
a.j._green,___Mostly Cloudy and Breezy,127
a.j._green,___Fair,121
a.j._green,___Clear,224
a.j._green,___Overcast,82
a.j._jenkins
aaron_dobson
adam_thielen
albert_wilson
albert_wilson,___Mostly Cloudy,87
allen_hurns
allen_hurns,___Partly Cloudy,110
allen_robinson
allen_robinson,___Fair,79
allen_robinson,___Fair,82
alshon_jeffery
alshon_jeffery,___Fair,105
alshon_jeffery,___A Few Clouds,97
alshon_jeffery,___Fair,136
alshon_jeffery,___Light Snow,135
alshon_jeffery,___Overcast,95
alshon_jeffery,___Overcast,78
alshon_jeffery,___Mostly Cloudy,72
andrew_hawkins
andrew_hawkins,___A Few Clouds,87
andrew_hawkins,___Partly Cloudy and Breezy,87
andrew_hawkins,___Mostly Cloudy,112
andrew_hawkins,___Fair,88
andrew_hawkins,___Overcast,97
andrew_hawkins,___Thunderstorm Heavy Rain Fog/Mist,93
andre_caldwell
andre_holmes
andre_holmes,___Partly Cloudy,74
andre_holmes,___A Few Clouds,121
andre_holmes,___Mostly Cloudy,73
andre_johnson
andre_johnson,___Thunderstorm,93
andre_johnson,___A Few Clouds,74
andre_johnson,___Partly Cloudy,99
andre_johnson,___Light Rain,77
andre_johnson,___Drizzle,134
andre_roberts
anquan_boldin
anquan_boldin,___Partly Cloudy,99
anquan_boldin,___A Few Clouds,72
anquan_boldin,___A Few Clouds,94
anquan_boldin,___A Few Clouds,93
anquan_boldin,___Fair,95
anquan_boldin,___Mostly Cloudy,137
anquan_boldin,___Clear,81
antonio_brown
antonio_brown,___A Few Clouds,116
antonio_brown,___Mostly Cloudy,90
antonio_brown,___Overcast,90
antonio_brown,___Fair,131
antonio_brown,___Fair,84
antonio_brown,___Fair,118
antonio_brown,___Light Rain,90
antonio_brown,___Fair,133
antonio_brown,___Fair,144
antonio_brown,___Fair,74
antonio_brown,___A Few Clouds,91
antonio_brown,___Overcast,97
antonio_brown,___Clear,117
antonio_brown,___Clear,123
antonio_brown,___Mostly Cloudy,72
antonio_brown,___Overcast,128
brandin_cooks
brandin_cooks,___Partly Cloudy,74
brandin_cooks,___Fair,94
brandon_gibson
brandon_lafell
brandon_lafell,___Fair,119
brandon_lafell,___A Few Clouds,97
brandon_lafell,___Mostly Cloudy,124
brandon_lafell,___Fair,98
brandon_lloyd
brandon_marshall
brandon_marshall,___Fair,113
brandon_marshall,___Fair,112
brandon_marshall,___Light Snow,90
brandon_tate
brenton_bersin
brian_hartline
brian_hartline,___Partly Cloudy,74
brian_hartline,___Partly Cloudy,94
brian_quick
brian_quick,___Fair,99
brian_quick,___Mostly Cloudy,74
brian_quick,___Partly Cloudy,87
brian_tyms
calvin_johnson
calvin_johnson,___Fair,164
calvin_johnson,___Overcast,83
calvin_johnson,___Overcast,82
calvin_johnson,___Overcast,113
calvin_johnson,___Overcast,146
calvin_johnson,___Partly Cloudy,158
calvin_johnson,___Mostly Cloudy,103
cecil_shorts
cecil_shorts,___Chance Showers,119
cecil_shorts,___Mostly Cloudy,76
charles_johnson
charles_johnson,___Mostly Cloudy,103
charles_johnson,___Overcast,72
chris_hogan
chris_hogan,___Fair,74
cole_beasley
cordarrelle_patterson
cordarrelle_patterson,___Fair,86
corey_brown
corey_fuller
damaris_johnson
dane_sanzenbacher
danny_amendola
darrius_heyward-bey
davante_adams
davante_adams,___Mostly Cloudy,77
davante_adams,___Fair,75
davante_adams,___Fair,121
david_nelson
deandre_hopkins
deandre_hopkins,___Thunderstorm,89
deandre_hopkins,___Fog/Mist,116
deandre_hopkins,___Light Rain,108
deandre_hopkins,___Fair,95
deandre_hopkins,___Mostly Cloudy,115
deandre_hopkins,___Overcast,80
deandre_hopkins,___Partly Cloudy,238
deandre_hopkins,___Mostly Cloudy,77
demaryius_thomas
demaryius_thomas,___Partly Cloudy,226
demaryius_thomas,___Fair,124
demaryius_thomas,___A Few Clouds,171
demaryius_thomas,___Partly Cloudy,105
demaryius_thomas,___Fair and Breezy,127
demaryius_thomas,___A Few Clouds,108
demaryius_thomas,___Light Snow Fog/Mist,103
demaryius_thomas,___Showers in Vicinity,87
demaryius_thomas,___Partly Cloudy,123
demaryius_thomas,___Partly Cloudy,115
demaryius_thomas,___Partly Cloudy,115
denard_robinson
denarius_moore
derek_carrier
derek_hagan
desean_jackson
desean_jackson,___Mostly Cloudy,117
desean_jackson,___Partly Cloudy,157
desean_jackson,___A Few Clouds,115
desean_jackson,___Partly Cloudy,120
desean_jackson,___Overcast,84
desean_jackson,___Mostly Cloudy,126
desean_jackson,___Mostly Cloudy,86
devier_posey
devin_hester
dexter_mccluster
dez_bryant
dez_bryant,___Mostly Cloudy,103
dez_bryant,___A Few Clouds,89
dez_bryant,___Clear,85
dez_bryant,___Clear,151
dez_bryant,___Chance Showers,158
dez_bryant,___Fair,86
dez_bryant,___Clear,73
dez_bryant,___Overcast,82
dez_bryant,___Mostly Cloudy,114
dez_bryant,___Overcast,73
dez_bryant,___Mostly Cloudy,99
donnie_avery
donnie_avery,___Fair,84
donte_moncrief
donte_moncrief,___Overcast,134
doug_baldwin
doug_baldwin,___Mostly Cloudy,123
doug_baldwin,___Clear,97
doug_baldwin,___Partly Cloudy,113
dwayne_bowe
dwayne_bowe,___Fair,81
dwayne_bowe,___,84
dwayne_bowe,___Light Rain,93
eddie_royal
eddie_royal,___,105
eddie_royal,___Mostly Sunny,81
eddie_royal,___Overcast,94
eddie_royal,___Clear,95
emmanuel_sanders
emmanuel_sanders,___Partly Cloudy,77
emmanuel_sanders,___Showers in Vicinity,108
emmanuel_sanders,___Fair,149
emmanuel_sanders,___Partly Cloudy,101
emmanuel_sanders,___Partly Cloudy,120
emmanuel_sanders,___Fair and Breezy,151
emmanuel_sanders,___Light Snow Fog/Mist,102
emmanuel_sanders,___Showers in Vicinity,125
emmanuel_sanders,___Fair,73
emmanuel_sanders,___Partly Cloudy,73
eric_decker
eric_decker,___Partly Cloudy,74
eric_decker,___Mostly Cloudy,89
eric_decker,___Mostly Cloudy,100
eric_decker,___Partly Cloudy,221
frankie_hammond
golden_tate
golden_tate,___Fair,93
golden_tate,___Fair,116
golden_tate,___Overcast,134
golden_tate,___Fair,154
golden_tate,___Cloudy,151
golden_tate,___Overcast,109
golden_tate,___Fair,97
golden_tate,___Overcast,89
greg_jennings
greg_jennings,___Partly Cloudy,72
greg_jennings,___Partly Cloudy,76
greg_little
greg_salas
hakeem_nicks
harry_douglas
harry_douglas,___Fair,116
harry_douglas,___Clear,131
james_jones
james_jones,___Partly Cloudy,83
jarius_wright
jarius_wright,___Mostly Cloudy,123
jaron_brown
jarrett_boykin
jarvis_landry
jarvis_landry,___Mostly Cloudy,75
jarvis_landry,___Clear,99
jeremy_kerley
jeremy_kerley,___Fair,81
jeremy_maclin
jeremy_maclin,___Partly Cloudy,97
jeremy_maclin,___Mostly Cloudy,154
jeremy_maclin,___Partly Cloudy,76
jeremy_maclin,___Mostly Cloudy,187
jeremy_maclin,___Mostly Cloudy,158
jeremy_maclin,___Overcast,93
jeremy_maclin,___Clear,108
jeremy_maclin,___Mostly Cloudy,98
jeremy_ross
jermaine_kearse
jermaine_kearse,___Clear,78
jerrel_jernigan
jerricho_cotchery
jerricho_cotchery,___Partly Cloudy,80
joe_morgan
john_brown
jordan_matthews
jordan_matthews,___Overcast,107
jordan_matthews,___Mostly Cloudy,77
jordy_nelson
jordy_nelson,___Fair,83
jordy_nelson,___Fair,209
jordy_nelson,___Mostly Cloudy,108
jordy_nelson,___Mostly Cloudy,107
jordy_nelson,___A Few Clouds,80
jordy_nelson,___Fair,152
jordy_nelson,___Overcast,109
jordy_nelson,___Overcast,146
jordy_nelson,___Mostly Cloudy,113
jordy_nelson,___Overcast,86
josh_gordon
josh_gordon,___Thunderstorm Heavy Rain Fog/Mist,120
josh_gordon,___Overcast,75
josh_morgan
julian_edelman
julian_edelman,___Fair,95
julian_edelman,___Mostly Cloudy,81
julian_edelman,___A Few Clouds,84
julian_edelman,___A Few Clouds,91
julian_edelman,___Fair and Breezy,89
julian_edelman,___Fair,89
julian_edelman,___Clear,88
julio_jones
julio_jones,___Thunderstorm,116
julio_jones,___A Few Clouds,88
julio_jones,___Mostly Cloudy,161
julio_jones,___Partly Cloudy,82
julio_jones,___Fair,105
julio_jones,___Overcast,119
julio_jones,___Fair,189
julio_jones,___Overcast,259
julio_jones,___Overcast,107
junior_hemingway
justin_brown
justin_hunter
justin_hunter,___Mostly Cloudy,99
justin_hunter,___Mostly Cloudy,77
keenan_allen
keenan_allen,___,135
keenan_allen,___Partly Cloudy,73
keenan_allen,___,104
keenan_allen,___Mostly Sunny,121
kelvin_benjamin
kelvin_benjamin,___Overcast,92
kelvin_benjamin,___Overcast,115
kelvin_benjamin,___Partly Cloudy,76
kelvin_benjamin,___Overcast,109
kelvin_benjamin,___Clear,104
kenbrell_thompkins
kenbrell_thompkins,___Mostly Cloudy,90
kendall_wright
kendall_wright,___Partly Cloudy,132
kendall_wright,___Partly Cloudy,73
kenny_britt
kenny_britt,___Light Snow Fog/Mist,128
kenny_britt,___Overcast,103
kenny_stills
kenny_stills,___Mostly Cloudy,98
kevin_norwood
lance_moore
larry_fitzgerald
larry_fitzgerald,___A Few Clouds,98
larry_fitzgerald,___Mostly Cloudy,160
larry_fitzgerald,___A Few Clouds,112
louis_murphy
malcom_floyd
malcom_floyd,___Partly Cloudy,98
malcom_floyd,___,72
malcom_floyd,___A Few Clouds,103
malcom_floyd,___Mostly Sunny,85
marcus_harris
markus_wheaton
markus_wheaton,___A Few Clouds,97
marlon_brown
marqise_lee
marqise_lee,___Partly Cloudy,75
marquess_wilson
marques_colston
marques_colston,___Thunderstorm,110
marques_colston,___Fair,111
marques_colston,___Mostly Cloudy,82
marques_colston,___Mostly Cloudy,72
martavis_bryant
martavis_bryant,___Fair,143
michael_crabtree
michael_crabtree,___A Few Clouds,82
michael_crabtree,___Partly Cloudy,80
michael_crabtree,___Overcast,85
michael_floyd
michael_floyd,___Mostly Cloudy,119
michael_floyd,___Partly Cloudy,114
michael_floyd,___Partly Cloudy,85
michael_floyd,___Clear,153
mike_brown
mike_evans
mike_evans,___Fair,78
mike_evans,___Mostly Cloudy,124
mike_evans,___Overcast,125
mike_evans,___Overcast,209
mike_wallace
mike_wallace,___Fair,81
mike_wallace,___Fair,74
mike_wallace,___Clear,104
miles_austin
mohamed_sanu
mohamed_sanu,___A Few Clouds,84
mohamed_sanu,___Overcast,120
mohamed_sanu,___Fair,125
mohamed_sanu,___Fair,95
nate_washington
nate_washington,___A Few Clouds,80
nate_washington,___Mostly Cloudy,102
nick_toon
niles_paul
odell_beckham
odell_beckham,___Overcast,156
odell_beckham,___Lt Rain,108
odell_beckham,___Overcast,93
odell_beckham,___Fair,146
odell_beckham,___Partly Cloudy,90
odell_beckham,___Mostly Cloudy,130
odell_beckham,___Overcast,143
odell_beckham,___Overcast,148
odell_beckham,___Mostly Cloudy,185
paul_richardson
percy_harvin
percy_harvin,___Fair and Breezy,129
percy_harvin,___Mostly Cloudy,124
pierre_garcon
pierre_garcon,___Thunderstorm,77
pierre_garcon,___Mostly Cloudy,138
pierre_garcon,___Fair,87
pierre_garcon,___Clear,95
preston_parker
randall_cobb
randall_cobb,___Mostly Cloudy,113
randall_cobb,___A Few Clouds,121
randall_cobb,___Fair,126
randall_cobb,___Fair,72
randall_cobb,___Overcast,129
randall_cobb,___Fair,85
randall_cobb,___Overcast,96
randall_cobb,___Mostly Cloudy,131
randall_cobb,___Overcast,80
reggie_wayne
reggie_wayne,___Partly Cloudy,98
reggie_wayne,___Partly Cloudy,119
reggie_wayne,___Overcast and Breezy,77
reggie_wayne,___Light Snow Fog/Mist,91
reggie_wayne,___Overcast,91
riley_cooper
riley_cooper,___Mostly Cloudy,88
robert_meachem
robert_woods
robert_woods,___Partly Cloudy,78
robert_woods,___A Few Clouds,78
robert_woods,___Overcast and Breezy,118
roddy_white
roddy_white,___Thunderstorm,72
roddy_white,___Partly Cloudy,73
roddy_white,___Mostly Clear,100
roddy_white,___Overcast,72
roddy_white,___Overcast,75
roddy_white,___Thunderstorm Heavy Rain Fog/Mist,96
roddy_white,___Overcast,104
rod_streater
rueben_randle
rueben_randle,___Overcast,89
rueben_randle,___Clear,74
rueben_randle,___Overcast,112
rueben_randle,___Overcast,132
rueben_randle,___Mostly Cloudy,158
ryan_grant
sammy_watkins
sammy_watkins,___Mostly Cloudy,117
sammy_watkins,___Overcast,87
sammy_watkins,___Mostly Cloudy,122
sammy_watkins,___Overcast and Breezy,157
sammy_watkins,___Clear,127
sammy_watkins,___Mostly Cloudy,75
santonio_holmes
seyi_ajirotutu
stedman_bailey
stedman_bailey,___Overcast,100
steve_johnson
steve_johnson,___A Few Clouds,79
t.y._hilton
t.y._hilton,___Fair,80
t.y._hilton,___Partly Cloudy,105
t.y._hilton,___Overcast and Breezy,90
t.y._hilton,___Partly Cloudy,223
t.y._hilton,___Mostly Cloudy,107
t.y._hilton,___Fair,155
t.y._hilton,___Light Rain Fog/Mist,122
t.y._hilton,___Mostly Cloudy,150
tavon_austin
taylor_gabriel
terrance_williams
terrance_williams,___Fair,77
torrey_smith
torrey_smith,___Mostly Clear,81
torrey_smith,___Sunny,75
torrey_smith,___Mostly Cloudy,98
torrey_smith,___Overcast,83
victor_cruz
victor_cruz,___Fog/Mist,107
victor_cruz,___Overcast,108
vincent_jackson
vincent_jackson,___A Few Clouds,144
