From,To,Weight
a.j._green
a.j._green,___Mostly Cloudy,227
a.j._green,___Clear,82
a.j._green,___Clear,78
a.j._green,___Partly Cloudy,118
a.j._green,___Clear,79
a.j._green,___Mostly Cloudy,128
a.j._green,___Partly Cloudy,132
aaron_dobson
aaron_dobson,___Clear,87
adam_thielen
albert_wilson
albert_wilson,___Light Rain,87
allen_hurns
allen_hurns,___Partly Cloudy,116
allen_hurns,___Clear,116
allen_hurns,___Clear,122
allen_hurns,___Partly Cloudy,105
allen_hurns,___Partly Cloudy,107
allen_robinson
allen_robinson,___Clear,155
allen_robinson,___Partly Cloudy,80
allen_robinson,___Clear,72
allen_robinson,___Mostly Cloudy,86
allen_robinson,___Clear,98
allen_robinson,___Clear,121
allen_robinson,___Partly Cloudy,113
allen_robinson,___Mostly Cloudy,153
allen_robinson,___Partly Cloudy,151
allen_robinson,___Partly Cloudy,108
alshon_jeffery
alshon_jeffery,___Partly Cloudy,147
alshon_jeffery,___Clear,116
alshon_jeffery,___Partly Cloudy,151
alshon_jeffery,___Light Rain,90
alshon_jeffery,___Clear,85
alshon_jeffery,___Overcast,107
amari_cooper
amari_cooper,___Dry and Partly Cloudy,109
amari_cooper,___Mostly Cloudy,134
amari_cooper,___Clear,88
amari_cooper,___Clear,79
amari_cooper,___Overcast,115
amari_cooper,___Overcast,120
andrew_hawkins
andre_holmes
andre_johnson
andre_johnson,___Mostly Cloudy,77
anquan_boldin
anquan_boldin,___Clear,107
anquan_boldin,___Partly Cloudy,102
anquan_boldin,___Partly Cloudy,93
anquan_boldin,___Clear,93
anquan_boldin,___Mostly Cloudy,74
antonio_brown
antonio_brown,___Light Rain,133
antonio_brown,___Clear,195
antonio_brown,___Mostly Cloudy,108
antonio_brown,___Clear,124
antonio_brown,___Clear,284
antonio_brown,___Clear,139
antonio_brown,___Partly Cloudy,118
antonio_brown,___Partly Cloudy,87
antonio_brown,___Clear,189
antonio_brown,___Mostly Cloudy,187
bennie_fowler
bradley_marquez
brandin_cooks
brandin_cooks,___Overcast,79
brandin_cooks,___Clear,107
brandin_cooks,___Partly Cloudy,81
brandin_cooks,___Clear,98
brandin_cooks,___Clear,104
brandin_cooks,___Partly Cloudy,123
brandon_coleman
brandon_lafell
brandon_lafell,___Clear,88
brandon_marshall
brandon_marshall,___Clear,101
brandon_marshall,___Partly Cloudy,109
brandon_marshall,___Partly Cloudy,128
brandon_marshall,___Mostly Cloudy,111
brandon_marshall,___Partly Cloudy,108
brandon_marshall,___Clear,131
brandon_marshall,___Clear,131
brandon_marshall,___Mostly Cloudy,125
brandon_marshall,___Clear,74
brandon_marshall,___Overcast,115
brandon_marshall,___Partly Cloudy,126
brenton_bersin
brian_hartline
brian_hartline,___Mostly Cloudy,74
brian_hartline,___Mostly Cloudy,83
brian_hartline,___Mostly Cloudy,107
brian_quick
brice_butler
bryan_walters
calvin_johnson
calvin_johnson,___Partly Cloudy,83
calvin_johnson,___Mostly Cloudy,77
calvin_johnson,___Partly Cloudy,166
calvin_johnson,___Clear,86
calvin_johnson,___Clear,85
calvin_johnson,___Clear,81
calvin_johnson,___Clear,88
calvin_johnson,___Mostly Cloudy,93
calvin_johnson,___Mostly Cloudy,77
calvin_johnson,___Mostly Cloudy,137
cecil_shorts
charles_johnson
chris_conley
chris_givens
chris_hogan
chris_owusu
cody_latimer
cole_beasley
cordarrelle_patterson
corey_brown
daniel_brown
danny_amendola
danny_amendola,___Mostly Cloudy,86
danny_amendola,___Clear,117
darius_jennings
darren_waller
darrius_heyward-bey
darrius_heyward-bey,___Mostly Cloudy,74
davante_adams
davante_adams,___Mostly Cloudy,93
davante_adams,___Clear,79
deandre_hopkins
deandre_hopkins,___Clear,98
deandre_hopkins,___Mostly Cloudy,101
deandre_hopkins,___Overcast,157
deandre_hopkins,___Mostly Cloudy,169
deandre_hopkins,___Mostly Cloudy,148
deandre_hopkins,___Mostly Cloudy,94
deandre_hopkins,___Clear,118
deandre_hopkins,___Mostly Cloudy,88
deandre_hopkins,___Partly Cloudy,94
deandre_hopkins,___Mostly Cloudy,117
deandre_hopkins,___Partly Cloudy,89
demaryius_thomas
demaryius_thomas,___Mostly Cloudy,116
demaryius_thomas,___Mostly Cloudy,92
demaryius_thomas,___Mostly Cloudy,93
demaryius_thomas,___Mostly Cloudy,111
demaryius_thomas,___Partly Cloudy,168
demaryius_thomas,___Partly Cloudy,95
demaryius_thomas,___Clear,117
